participant,bad_pointing_different,bad_pointing_same,Study,SBSOD,gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,K_Means_Across_All,Model_Building_Average_Within,Education,New_or_Original,MRT
Original_Study1_1001,20.21423536,21.9792326,1,3.133333333,Male,47,0.489043184,0.210223545,0.808425836,3,0.509324691,2,Original,
Original_Study1_1002,58.27469586,9.80542444,1,5.533333333,Male, ,0.457136285,0.747308539,0.190508386,1,0.468908463,2,Original,
Original_Study1_1003,55.86273948,48.72043464,1,3.733333333,Male, ,0.382872214,0.728185191,0.629351261,2,0.678768226,2,Original,
Original_Study1_1004,25.72080813,7.870785002,1,4.733333333,Female, ,0.925947,0.889316816,0.83725153,3,0.863284173,2,Original,
Original_Study1_1005,44.36939342,17.99604561,1,4.733333333,Female,45,0.385930482,0.392962878,0.758849987,1,0.575906433,2,Original,
Original_Study1_1006,44.27300236,25.42556243,1,3.6,Female,43,0.155929036,0.242028987,0.040747828,1,0.141388408,2,Original,
Original_Study1_1007,40.70141722,25.56333775,1,5.4,Female, ,0.251371029,0.442423229,0.819924427,1,0.631173828,2,Original,
Original_Study1_1008,58.24076461,16.3871896,1,3.066666667,Female, ,0.073542213,0.499128959,0.211663291,1,0.355396125,2,Original,
Original_Study1_1009,25.35548882,22.92771528,1,6.466666667,Female,51,0.81123877,0.877579812,0.857402522,3,0.867491167,2,Original,
Original_Study1_1010,58.34281127,29.83165067,1,3.466666667,Female, ,0.501042467,0.439075746,0.419409209,2,0.429242478,2,Original,
Original_Study1_1011,48.14764118,32.10322053,1,3.733333333,Female, ,0.611558273,0.75875082,0.410349288,2,0.584550054,2,Original,
Original_Study1_1012,15.3353117,4.710319425,1,5,Male,54,0.937405919,0.909559734,0.766051069,3,0.837805402,2,Original,
Original_Study1_1013,54.84632016,23.092378,1,4.533333333,Female, ,0.401036164,0.363604357,0.778930833,1,0.571267595,2,Original,
Original_Study1_1014,50.12060922,46.01475651,1,3.266666667,Female, ,0.626289525,0.456219283,0.566624936,2,0.51142211,2,Original,
Original_Study1_1015,52.54696715,22.31305779,1,4.666666667,Female, ,0.20129867,0.453539205,0.296753858,1,0.375146532,2,Original,
Original_Study1_1016,49.8522034,36.12671019,1,4.266666667,Female,48,0.391995385,0.762787271,0.330044414,2,0.546415843,2,Original,
Original_Study1_1017,53.18127016,17.34612963,1,4.866666667,Male, ,0.634209732,0.688326238,0.816713888,1,0.752520063,2,Original,
Original_Study1_1018,56.01796776,16.54129263,1,6.133333333,Female,53,0.542088691,0.549654788,0.873070685,1,0.711362737,2,Original,
Original_Study1_1019,48.13266335,32.56510529,1,5.133333333,Female,45,0.335807492,0.828031445,0.468999646,2,0.648515546,2,Original,
Original_Study1_1020,58.72766532,38.44553796,1,5.866666667,Male, ,0.401813151,0.607298707,0.407836581,2,0.507567644,2,Original,
Original_Study1_1021,28.5369919,8.089441192,1,5.4,Female, ,0.797232026,0.872107433,0.597597437,3,0.734852435,2,Original,
Original_Study1_1022,41.53944872,29.4796179,1,4.2,Female, ,0.584021448,0.474775591,0.944968048,1,0.70987182,2,Original,
Original_Study1_1023,18.27062605,13.12393258,1,4.866666667,Female, ,0.556533065,0.544695963,0.880452771,3,0.712574367,2,Original,
Original_Study1_1024,60.117425,62.11886212,1,4.2,Female, ,0.283410358,0.315806735,0.314138414,2,0.314972575,2,Original,
Original_Study1_1025,49.81412383,20.58118603,1,5.4,Female,48,0.620759812,0.927373205,0.235555577,1,0.581464391,2,Original,
Original_Study1_1026,64.96644922,22.135052,1,5.2,Female,46,0.194100423,0.90038077,0.098159718,1,0.499270244,2,Original,
Original_Study1_1027,54.83384457,40.63328669,1,1.533333333,Female,53,0.563004696,0.878079943,0.067040223,2,0.472560083,2,Original,
Original_Study1_1028,48.5976801,21.29849067,1,5.533333333,Male, ,0.346972046,0.865736269,0.495439179,1,0.680587724,2,Original,
Original_Study1_1029,26.4978102,17.90119272,1,5.666666667,Male,49,0.844956638,0.88229622,0.927742994,3,0.905019607,2,Original,
Original_Study1_1030,46.28846813,56.42274034,1,3.733333333,Female, ,0.251198056,0.72583708,0.593903276,2,0.659870178,2,Original,
Original_Study1_1031,47.86036847,25.29494922,1,2.466666667,Male,30,0.182477583,0.364100183,0.968746842,1,0.666423513,2,Original,
Original_Study1_1032,58.88772508,35.53028071,1,4.466666667,Female, ,0.132261091,0.75091528,0.923157393,2,0.837036337,2,Original,
Original_Study1_1033,52.18896101,28.91570817,1,4.266666667,Female, ,0.599725743,0.942374413,0.201634786,1,0.5720046,2,Original,
Original_Study1_1034,19.41641658,30.44606518,1,3.4,Female, ,0.86077427,0.909433899,0.779103127,3,0.844268513,2,Original,
Original_Study1_1035,23.42953232,15.08506293,1,5.066666667,Female, ,0.934090262,0.92006253,0.84567436,3,0.882868445,2,Original,
Original_Study1_1036,48.59248235,24.66594298,1,4.133333333,Female, ,0.31788004,0.608429415,0.387861865,1,0.49814564,2,Original,
Original_Study1_1037,55.31483806,8.416698727,1,5.266666667,Male, ,0.439681971,0.91348728,0.762399182,1,0.837943231,2,Original,
Original_Study1_1038,51.7506493,29.08844749,1,4.333333333,Male, ,0.706467382,0.381987662,0.75302432,1,0.567505991,2,Original,
Original_Study1_1039,45.14781479,22.16517183,1,3.466666667,Female,44,0.786142387,0.511931771,0.944992575,1,0.728462173,2,Original,
Original_Study1_1040,41.70316673,37.73454885,1,4.066666667,Female,41,0.410248743,0.869169993,0.379922303,2,0.624546148,2,Original,
Original_Study1_1041,69.06351603,27.92107757,1,4.4,Female, ,0.651624534,0.410061062,0.174621863,1,0.292341463,2,Original,
Original_Study1_1042,59.89432511,41.4575434,1,4.4,Male, ,0.54362813,0.890938281,0.877680413,2,0.884309347,2,Original,
Original_Study1_1043,49.18427388,22.11474308,1,4.133333333,Female,52,0.168624245,0.195751197,0.534365126,1,0.365058162,2,Original,
Original_Study1_1044,22.08706945,15.39305344,1,4.133333333,Male,44,0.800585313,0.941577288,0.889111759,3,0.915344524,2,Original,
Original_Study1_1045,56.03287539,31.44232223,1,4.8,Male, ,0.213885223,0.425331847,0.323238057,2,0.374284952,2,Original,
Original_Study1_1046,38.20504991,54.02877278,1,2.533333333,Female, ,0.278763462,0.72924268,0.097592495,2,0.413417588,2,Original,
Original_Study1_1047,54.75005995,26.76401687,1,4.133333333,Male,46,0.529059279,0.518339997,0.124978877,1,0.321659437,2,Original,
Original_Study1_1048,54.76185905,20.94042213,1,5.066666667,Female,48,0.554398838,0.884334841,0.969006394,1,0.926670618,2,Original,
Original_Study1_1049,49.87112735,19.63390672,1,3.133333333,Female,45,0.361680287,0.710338943,0.172097737,1,0.44121834,2,Original,
Original_Study1_1050,53.55524499,30.68942306,1,3.8,Female,46,0.279210109,0.528806234,0.120691569,2,0.324748902,2,Original,
Original_Study1_1051,55.39852243,38.32111896,1,4.866666667,Female, ,0.311572514,0.250372378,0.028361732,2,0.139367055,2,Original,
Original_Study1_1052,38.88046242,15.53681824,1,5.2,Female, ,0.84162888,0.806981875,0.880245805,3,0.84361384,2,Original,
Original_Study1_1053,54.1155528,24.02366408,1,2.933333333,Female,44,0.306669191,0.538978388,0.270157955,1,0.404568172,2,Original,
Original_Study1_1054,55.09679958,32.10982315,1,4.333333333,Female,47,0.144922644,0.537722735,0.723376206,2,0.630549471,2,Original,
Original_Study1_1055,52.58549996,24.9615261,1,6.133333333,Male,49,0.601214442,0.580828839,0.878389429,1,0.729609134,2,Original,
Original_Study1_1056,55.41666858,31.99866097,1,3.466666667,Female, ,0.427393591,0.531853207,0.388884484,2,0.460368846,2,Original,
Original_Study1_1057,57.14384422,52.87956116,1, ,, ,0.023789958,0.557736079,0.470850327,2,0.514293203,2,Original,
Original_Study1_1058,32.6986447,16.82468759,1,4.6,Female, ,0.710994056,0.72734393,0.969197037,3,0.848270484,2,Original,
Original_Study1_1059,27.59545236,23.18634376,1,4.666666667,Male,41,0.102189465,0.771196972,0.866311416,3,0.818754194,2,Original,
Original_Study1_1060,29.06367292,19.55801701,1,3.4,Male,54,0.768920038,0.911162933,0.714576135,3,0.812869534,2,Original,
Original_Study1_1061,31.7843397,13.77574374,1,4.5333,Male, ,0.31261923,0.497273333,0.966440487,3,0.73185691,2,Original,
Original_Study1_1062,16.73855987,14.80391661,1,4.533333333,Male,52,0.938457784,0.958272576,0.979682636,3,0.968977606,2,Original,
Original_Study1_1063,47.92512472,18.27000956,1,4.86666,Female, ,0.407052598, , ,1, ,2,Original,
Original_Study1_1064,46.12559369,7.275072109,1,5.06666,Male, ,0.905952474, , ,1, ,2,Original,
Original_Study1_1065,49.42832053,26.31430193,1,2.9333,Male, ,0.177950086,0.856222062,0.26839116,1,0.562306611,2,Original,
Original_Study1_1066,35.53729562,8.709049318,1,4.666666667,Female,41,0.721412872,0.671345586,0.895808516,3,0.783577051,2,Original,
Original_Study1_1067,54.73,34.66004224,1,3.53333,Female, ,0.46363967,0.830895298,0.359912062,2,0.59540368,2,Original,
Original_Study1_1068,63.75,24.58698812,1,3.86666,Male, ,0.684395177,0.702651604,0.075345643,1,0.388998624,2,Original,
Original_Study1_1069,39.45,15.31812801,1,5.8,Male, ,0.592426591,0.7322593,0.955561396,3,0.843910348,2,Original,
Original_Study1_1070,49.09,17.03567979,1,5.6,Male, ,0.025104732,0.731621485,0.875450739,1,0.803536112,2,Original,
Original_Study1_1071,47.87,12.09132139,1,4.933333,Female, ,0.826977146,0.977464646,0.232651146,1,0.605057896,2,Original,
Original_Study1_1072,45.62,40.58600396,1,4.733333,Female, ,0.255259295,0.437774585,0.560630583,2,0.499202584,2,Original,
Original_Study1_1073,65.28,36.37281928,1,4.133333333,Female,49,0.307161237,0.178741808,0.164648233,2,0.171695021,2,Original,
Original_Study1_1074,50.32,31.08603337,1,4.93333,Male, ,0.194605709,0.863384083,0.09943469,2,0.481409387,2,Original,
Original_Study1_1075,38.39,35.60436094,1,1.933333,Male, ,0.311039649,0.860595379,0.758112613,2,0.809353996,2,Original,
Original_Study1_1076,17.31,20.04761301,1,5.33333,Male, ,0.808177413,0.789534431,0.871785382,3,0.830659907,2,Original,
Original_Study1_1077,43.98,34.50824627,1,1.66666,Female, ,0.082356994,0.418840833,0.940319932,2,0.679580383,2,Original,
Original_Study1_1078,17.29,7.414827951,1,5.133333333,Female,45,0.924937172,0.911237061,0.943915269,3,0.927576165,2,Original,
Original_Study1_1079,56.2,33.02379526,1,3.4,Female, ,0.180335153,0.143743655,0.810639536,2,0.477191596,2,Original,
Original_Study1_1080,51.95,28.97481235,1,2.9333,Female, ,0.176538472,0.238640746,0.698168013,1,0.46840438,2,Original,
Original_Study1_1102,44.9236335,28.87561193,1,4.4,Female,51,0.32218722,0.724983656,0.304543727,1,0.514763692,2,Original,
Original_Study1_1103,53.17373154,35.62640613,1,3.866666667,Female,50,0.401944019,0.51098972,0.342251669,2,0.426620695,2,Original,
Original_Study1_1104,55.19632366,17.53079337,1,3.8,Male,50,0.486912138,0.781362909,0.896071233,1,0.838717071,2,Original,
Original_Study1_1105,21.46899195,10.73991153,1,4.4,Male,48,0.882670121,0.975700711,0.971465313,3,0.973583012,2,Original,
Original_Study1_1106,55.27919647,29.37610175,1,4.466666667,Female,46,0.148406619,0.745599208,0.660960969,1,0.703280089,2,Original,
Original_Study1_1107,63.26695605,22.72474644,1,2.8,Female,47,0.002504729,0.587719085,0.867908504,1,0.727813795,2,Original,
Original_Study1_1108,31.6837969,11.37942145,1,5.133333333,Female,51,0.735628183,0.831984869,0.899020568,3,0.865502719,2,Original,
Original_Study1_1109,50.0866237,16.27798149,1,4.533333333,Male,52,0.393789786,0.681571098,0.952004649,1,0.816787874,2,Original,
Original_Study1_1110,59.34420109,20.67377539,1,5.2,Female,48,0.149074416,0.724078588,0.367234211,1,0.5456564,2,Original,
Original_Study1_1111,23.32532268,12.07899916,1,3.533333333,Male,51,0.817963372,0.873734323,0.787320594,3,0.830527459,2,Original,
Original_Study1_1112,65.71674511,46.71496409,1, ,,51,0.013531162,0.187217788,0.318669576,2,0.252943682,2,Original,
Original_Study1_1113,53.39346302,35.32638949,1,2.6,Female, , , , ,2, ,2,Original,
Original_Study1_1114,45.55216718,28.71926973,1,4.2,Female,45,0.027811948,0.805323569,0.770481756,1,0.787902663,2,Original,
Original_Study1_1115,46.41551055,15.70106754,1,5.2,Female,46,0.082182057,0.686754817,0.82351831,1,0.755136564,2,Original,
Original_Study1_1116,56.92602031,41.5941092,1,4.133333333,Female,51,0.568448963,0.310495573,0.939581083,2,0.625038328,2,Original,
Original_Study1_1117,20.4521953,16.10467395,1,5.733333333,Male,49,0.094788289,0.780674729,0.944005405,3,0.862340067,2,Original,
Original_Study1_1118,27.46152477,19.1453892,1,3.666666667,Male,52,0.881055223,0.895667889,0.890377209,3,0.893022549,2,Original,
Original_Study1_1119,54.8634134,40.22937255,1,5.066666667,Female,35,0.393287035,0.420701565,0.586158769,2,0.503430167,2,Original,
Original_Study1_1120,40.54925474,39.43201553,1,5.466666667,Female,45,0.734442652,0.783078938,0.261727963,2,0.522403451,2,Original,
Original_Study1_1121,60.88684241,14.11935722,1,5.2,Male,46,0.251981213,0.792842793,0.844313294,1,0.818578044,2,Original,
Original_Study1_1122,32.68813796,20.23043506,1,5.4,Female,44,0.237621663,0.900997263,0.024548506,3,0.462772885,2,Original,
Original_Study1_1123,49.31738138,20.06017202,1,3.466666667,Female, ,0.525829939,0.440301747,0.397882107,1,0.419091927,2,Original,
Original_Study1_1124,63.94444233,40.11473399,1,4.666666667,Female,40,0.146397172,0.648067814,0.586860563,2,0.617464189,2,Original,
Original_Study1_1125,41.92705429,22.40181711,1, ,Male,44,0.511718444,0.834066419,0.857612186,1,0.845839303,2,Original,
Original_Study1_1126,55.03643991,44.44595988,1,2.133333333,Female,46,0.59358223,0.224532746,0.523353327,2,0.373943037,2,Original,
Original_Study1_1127,48.50234793,25.65529031,1,3.066666667,Female,49,0.409250839,0.490719431,0.24541257,1,0.368066001,2,Original,
Original_Study1_1128,38.1644721,5.883999165,1,6,Female,49,0.878916976,0.970839198,0.941767392,3,0.956303295,2,Original,
Original_Study1_1129,45.0663268,24.63915097,1,5.266666667,Male,43,0.486624176,0.295904954,0.110268517,1,0.203086736,2,Original,
Original_Study1_1130,30.59136758,16.91855291,1,5.733333333,Male,44,0.440209423,0.752208447,0.970838656,3,0.861523552,2,Original,
Original_Study1_1131,62.08474116,44.58120507,1,3.6,Male, ,0.224313202,0.669911971,0.154731827,2,0.412321899,2,Original,
Original_Study1_1132,41.25832922,20.388315,1,5.666666667,Male,48,0.564767686,0.546916249,0.669478507,1,0.608197378,2,Original,
Original_Study1_1133,54.33451949,15.79837249,1,2.8,Male,54,0.489721118,0.888109934,0.788215108,1,0.838162521,2,Original,
Original_Study1_1134,48.29118238,57.33305818,1,5,Female,45,0.158989504,0.207451362,0.047820509,2,0.127635936,2,Original,
Original_Study1_1135,36.96998561,22.72564489,1,5.2,Female,45,0.601300694,0.694759532,0.816179969,3,0.755469751,2,Original,
Original_Study1_1136,45.43090681,38.52470734,1,2.533333333,Female,49,0.631307315,0.173008151,0.275274607,2,0.224141379,2,Original,
Original_Study1_1137,59.73787708,21.55834165,1,4.4,Female,48,0.410108107,0.452350334,0.897349531,1,0.674849933,2,Original,
Original_Study1_1138,41.72527662,21.95451539,1,3.333333333,Male, ,0.290372616,0.137833297,0.914305918,1,0.526069608,2,Original,
Original_Study1_1139,49.30253362,25.70020116,1,4.133333333,Male,54,0.361750451,0.832193287,0.968673199,1,0.900433243,2,Original,
Original_Study1_1140,42.88946389,18.34506384,1,5.6,Male, ,0.283119471,0.824759737,0.213635202,1,0.51919747,2,Original,
Original_Study1_1141,62.69560666,16.00591798,1,2.933333333,Male,47,0.436882307,0.647297429,0.907912171,1,0.7776048,2,Original,
Original_Study1_1142,52.11581305,16.96457432,1,4.133333333,Male,47,0.413136662,0.81064134,0.845752191,1,0.828196766,2,Original,
Original_Study1_1143,49.282268,7.776895395,1,5.133333333,Female,54,0.682842275,0.756318118,0.909045118,1,0.832681618,2,Original,
Original_Study1_1144,29.20921732,12.87735623,1,3.8,Male,45,0.820677721,0.856107468,0.972579299,3,0.914343384,2,Original,
Original_Study1_1145,49.98054186,11.71072709,1,4.866666667,Male,52,0.909316877,0.863224744,0.919681086,1,0.891452915,2,Original,
Original_Study1_1146,31.70187482,19.0489316,1,1.8,Female,50,0.16577828,0.795365363,0.931024339,3,0.863194851,2,Original,
Original_Study1_1147,18.55554237,6.682463863,1,3.6,Male,52,0.842241673,0.665216966,0.91168644,3,0.788451703,2,Original,
Original_Study1_1148,55.6623337,27.09059194,1,4.933333333,Male,43,0.229608893,0.264035161,0.419261006,1,0.341648084,2,Original,
Original_Study1_1149,52.20189756,16.98157436,1,3.933333333,Female, ,0.268546402,0.538508426,0.393022466,1,0.465765446,2,Original,
Original_Study1_1150,53.87004179,35.26898137,1,4.466666667,Female,42,0.109633101,0.038434327,0.415181244,2,0.226807786,2,Original,
Original_Study1_1151,41.92974147,14.04801585,1,3.533333333,Female,51,0.373322079,0.734084351,0.442854344,1,0.588469348,2,Original,
Original_Study1_2001,38.178241,17.31656101,2,5,Female,51,0.663347028,0.709568889,0.956622465,3,0.833095677,2,Original,
Original_Study1_2002,69.59390435,21.92363604,2,4.066666667,Female,41,0.56324389,0.035124491,0.72863753,1,0.381881011,2,Original,
Original_Study1_2003,54.19199469,35.82015963,2,4.466666667,Male,39,0.098029714,0.723537907,0.493367665,2,0.608452786,2,Original,
Original_Study1_2004,46.28096046,32.34245711,2,4.533333333,Female,41,0.298838639,0.44688504,0.452121511,2,0.449503276,2,Original,8
Original_Study1_2005,41.65710667,27.88319832,2,4.533333333,Female,39,0.531357841,0.62166015,0.958527503,1,0.790093827,2,Original,30
Original_Study1_2007,23.18709592,12.60772758,2,5.266666667,Male,53,0.837042291,0.517805015,0.43527121,3,0.476538113,2,Original,66
Original_Study1_2009,47.36405582,24.04290538,2,4.866666667,Female,43,0.472341881,0.942055277,0.857856268,1,0.899955773,2,Original,50
Original_Study1_2010,32.97249988,15.3504804,2,6.2,Female,48,0.873039991,0.963023272,0.922825972,3,0.942924622,2,Original,40
Original_Study1_2011,60.56413537,28.51887679,2,3.4,Female,44,0.123350502,0.548085986,0.562056299,1,0.555071143,2,Original,42
Original_Study1_2012,33.04537871,15.37099407,2,4.066666667,Male,47,0.489499224,0.924412326,0.851212904,3,0.887812615,2,Original,34
Original_Study1_2013,44.89655758,38.83009084,2,3.733333333,Female,43,0.090486547,0.448927291,0.140182458,2,0.294554875,2,Original,
Original_Study1_2014,39.40075315,18.71397832,2,3.666666667,Female,45,0.407055345,0.78680725,0.712180379,3,0.749493815,2,Original,28
Original_Study1_2015,43.39923305,7.186692538,2,6,Female,52,0.858454187,0.664910925,0.517449559,1,0.591180242,2,Original,14
Original_Study1_2016,52.54521643,10.9547886,2,4.2,Male,50,0.019181143,0.846566623,0.26987389,1,0.558220257,2,Original,76
