participant,date,condition,model number,building,x,y,error
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Batty House,108,535,275.1908429
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Lynch Station,3,321,197.2054766
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Harvey House,511,491,217.0829335
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Tobler Museum,610,2,167.5977327
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Sauer Center,609,178,173.738309
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Snow Church,459,323,282.7949787
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Golledge Hall,257,54,387.8375949
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Harris Hall,264,252,55.47071299
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Batty House,108,508,249.5135267
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Lynch Station,15,342,218.0206412
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Harris Hall,260,317,101.5184712
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Harvey House,405,384,150.0733154
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Golledge Hall,485,194,125.09996
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Snow Church,634,114,122.4948979
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Sauer Center,506,6,119.0042016
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Tobler Museum,343,62,161.5549442
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Lynch Station,10,223,99.02019996
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Golledge Hall,659,7,299.4678614
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Sauer Center,319,25,306.6528982
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Snow Church,684,224,37.21558813
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Harvey House,690,378,410.2011702
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Tobler Museum,19,29,483.0372656
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Harris Hall,535,448,389.4663015
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Batty House,476,209,453.3982797
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Lynch Station,532,431,603.8617391
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Batty House,719,445,713.2972732
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Golledge Hall,203,372,369.9756749
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Tobler Museum,522,100,36.40054945
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Sauer Center,439,5,186
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Snow Church,282,238,435.2528001
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Harvey House,178,139,364.92739
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Harris Hall,407,364,236.4487259
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Lynch Station,0,349,225.3197728
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Batty House,174,502,272.9633675
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Harris Hall,122,195,98.03060747
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Snow Church,483,364,282.0815485
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Sauer Center,656,424,420.145213
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Tobler Museum,662,191,182.5431456
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Golledge Hall,437,170,175.4137965
Rep ABCD_7,2020-09-29 05:37:31 UTC,,0,Harvey House,208,49,444.4007201
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Batty House,36,479,207.1955598
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Lynch Station,17,259,135.0925609
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Harris Hall,259,295,81.83520025
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Harvey House,385,442,100.6479011
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Golledge Hall,493,176,135.1517665
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Snow Church,597,63,185.2700731
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Sauer Center,326,40,301.0415254
Rep ABCD_8,2020-10-05 03:23:20 UTC,,0,Tobler Museum,329,183,174.9771414
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Tobler Museum,566,233,132.8533026
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Sauer Center,436,279,332.8618332
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Snow Church,331,174,386.2460356
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Golledge Hall,541,70,222.1936093
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Harvey House,284,290,195.2562419
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Harris Hall,172,299,84.72307832
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Lynch Station,6,309,185.0972717
Rep ABCD_9,2020-10-05 05:10:29 UTC,,0,Batty House,124,506,253.3081128
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Batty House,22,483,211.0592334
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Lynch Station,4,294,170.1881312
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Harris Hall,251,345,124.3261839
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Harvey House,373,438,91.92388155
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Golledge Hall,142,126,453.1103618
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Snow Church,418,135,306.1110909
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Tobler Museum,131,11,378.6357088
Rep ABCD_10,2020-10-21 23:39:46 UTC,,0,Sauer Center,368,4,257.0019455
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Batty House,77,499,232.4413905
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Lynch Station,2,267,143.3492239
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Harris Hall,294,337,136.242431
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Harvey House,474,469,180.709712
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Tobler Museum,258,40,248.8955604
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Sauer Center,474,5,151
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Golledge Hall,409,206,176.7766953
Rep ABDC_3,2020-09-19 07:12:14 UTC,,0,Snow Church,614,132,125.4312561
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Lynch Station,426,165,416.0252396
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Tobler Museum,685,499,423.0756434
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Sauer Center,255,470,594.2432162
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Snow Church,95,344,636.3662467
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Golledge Hall,500,330,74.94664769
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Harvey House,16,6,553.8275905
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Harris Hall,300,78,170.6722004
Rep ABDC_4,2020-09-21 04:13:08 UTC,,0,Batty House,653,233,627.2136797
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Tobler Museum,8,90,486.0545237
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Harvey House,58,375,260.3766503
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Batty House,719,420,707.6496308
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Lynch Station,500,402,561.6297713
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Harris Hall,251,464,240.7072911
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Sauer Center,310,11,315.0571377
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Snow Church,607,84,162.8557644
Rep ABDC_5,2020-09-24 01:09:14 UTC,,0,Golledge Hall,492,235,91.21403401
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Lynch Station,24,289,165.4357881
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Batty House,29,487,215.0093021
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Harris Hall,265,341,125.399362
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Harvey House,447,473,153.4698667
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Tobler Museum,443,143,54.23098745
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Golledge Hall,498,253,76.15773106
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Sauer Center,567,23,60.7289058
Rep ABDC_6,2020-10-01 00:21:40 UTC,,0,Snow Church,682,196,35.17101079
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Lynch Station,12,269,145
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Harris Hall,324,320,143.9340127
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Harvey House,707,263,468.8848473
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Golledge Hall,446,190,155.3222457
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Snow Church,440,20,332.2664593
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Sauer Center,93,17,532.1353211
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Tobler Museum,629,26,166.4692164
Rep ABDC_7,2020-10-02 03:39:13 UTC,,0,Batty House,62,489,219.8044586
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Tobler Museum,577,460,348.2814953
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Sauer Center,363,449,515.5385534
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Snow Church,267,352,472.4510557
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Lynch Station,477,5,479.9854164
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Harris Hall,513,162,304.7950131
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Harvey House,160,142,368.2458418
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Golledge Hall,345,219,230.5319934
Rep ABDC_8,2020-10-16 03:41:42 UTC,,0,Batty House,386,23,436.9004463
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Golledge Hall,579,303,19.20937271
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Snow Church,723,225,21.1896201
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Batty House,54,269,27.16615541
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Harvey House,248,486,46.01086828
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Harris Hall,201,197,32.20248438
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Lynch Station,9,119,5.830951895
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Sauer Center,600,62,62.24146528
Rep ABDC_11,2020-10-19 04:42:58 UTC,,0,Tobler Museum,480,134,17.69180601
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Golledge Hall,66,461,526.2166854
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Tobler Museum,53,128,440.0409072
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Harvey House,690,466,396.4555461
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Snow Church,288,346,450.6273405
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Sauer Center,367,129,286.2516375
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Batty House,721,50,728.6425736
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Lynch Station,624,163,613.241388
Rep BACD_1,2020-09-16 00:11:14 UTC,,0,Harris Hall,481,318,281.4604768
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Golledge Hall,367,63,301.3187681
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Harvey House,707,9,630.1944144
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Harris Hall,124,15,229.7868578
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Lynch Station,46,330,208.7869728
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Batty House,222,517,313.1293662
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Sauer Center,277,287,447.9151705
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Tobler Museum,573,185,101.8282868
Rep BACD_2,2020-09-23 23:13:14 UTC,,0,Snow Church,188,150,530.8568545
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Batty House,15,513,241.2985702
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Lynch Station,88,326,215.8240024
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Harris Hall,150,132,114.2847321
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Harvey House,297,16,469.0095948
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Golledge Hall,608,424,140.0892573
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Snow Church,474,287,255.5151659
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Tobler Museum,471,60,65.78753681
Rep BACD_3,2020-09-28 07:14:14 UTC,,0,Sauer Center,662,131,131.3202193
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Batty House,645,476,650.7995083
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Lynch Station,440,430,526.1368643
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Harris Hall,425,270,214.5600149
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Harvey House,639,154,478.1066827
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Golledge Hall,203,214,369.1205765
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Snow Church,132,82,596.8123658
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Sauer Center,202,373,560.6719183
Rep BACD_4,2020-10-05 23:33:57 UTC,,0,Tobler Museum,0,339,538.6445953
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Harvey House,299,9,476.0262598
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Golledge Hall,159,233,409.132008
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Snow Church,18,294,703.651192
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Sauer Center,89,451,697.2890362
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Tobler Museum,242,404,377.5248336
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Batty House,611,6,641.7257981
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Lynch Station,633,60,624.2891958
Rep BACD_5,2020-10-09 23:09:01 UTC,,0,Harris Hall,475,207,260.6933064
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Batty House,28,342,70.00714249
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Lynch Station,13,156,32.01562119
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Harris Hall,235,231,20.61552813
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Harvey House,236,460,63.1585307
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Golledge Hall,525,295,39.20459157
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Snow Church,677,174,49.81967483
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Sauer Center,551,49,86.092973
Rep BACD_7,2020-10-17 04:18:38 UTC,,0,Tobler Museum,427,88,74.24284477
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Lynch Station,404,274,419.7189536
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Golledge Hall,42,292,522.0009579
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Tobler Museum,5,78,489.9795914
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Harris Hall,442,113,253.570503
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Sauer Center,184,17,441.1632351
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Harvey House,641,349,372.6996109
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Snow Church,228,197,488.0655694
Rep BACD_8,2020-10-22 23:54:07 UTC,,0,Batty House,355,86,377.0676332
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Golledge Hall,350,7,355.6008999
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Batty House,261,358,249.3030285
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Snow Church,113,64,619.2656942
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Tobler Museum,209,169,287.8628145
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Sauer Center,416,203,287.8975512
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Harvey House,593,465,299.6681498
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Lynch Station,349,411,442.648845
Rep BADC_6,2020-09-24 23:02:05 UTC,,0,Harris Hall,174,420,198.2851482
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Sauer Center,617,17,14.4222051
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Tobler Museum,448,58,78.23681998
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Golledge Hall,566,298,7.280109889
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Snow Church,706,187,20.59126028
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Harvey House,383,488,89.05054744
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Lynch Station,53,338,217.8921752
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Harris Hall,295,327,128.844868
Rep BADC_7,2020-09-28 02:12:04 UTC,,0,Batty House,111,475,219.6929676
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Tobler Museum,387,448,342.8002334
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Sauer Center,544,352,356.3285001
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Snow Church,239,386,510.1862405
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Golledge Hall,370,225,204.9194964
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Harvey House,235,49,439.9738629
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Harris Hall,215,242,16
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Lynch Station,601,105,589.3063719
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Batty House,570,65,581.1178882
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Snow Church,671,361,162.3607095
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Sauer Center,540,170,185.6071119
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Golledge Hall,535,472,183.3084832
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Tobler Museum,378,295,207.7354086
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Harvey House,52,479,242.0743687
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Batty House,44,200,73.97972695
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Harris Hall,220,306,80.15609771
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Lynch Station,70,126,58.03447251
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Golledge Hall,626,266,66.85057965
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Snow Church,603,429,250.8884214
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Sauer Center,307,435,534.8121165
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Tobler Museum,212,257,311.746692
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Batty House,491,15,530.4196452
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Lynch Station,458,93,447.0760562
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Harvey House,343,128,360.3470549
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Harris Hall,463,312,262.488095
