StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q25,Q23,Q1.3,Q1.4,Q1.4_1_TEXT,Q2.1,Q2.2,Q2.3,Q2.4,Q2.4_8_TEXT,Q2.5,Q2.5_5_TEXT,Q2.6,Q2.7,Q2.8,Q26,id
2020-10-15 09:56:49,2020-10-15 09:59:40,IP Address,128.227.1.38,100,171,True,2020-10-15 09:59:40,R_ePRkCwTieqgpR0B,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,Asian,,High School,,Left,English,,2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170,
2020-10-15 10:09:42,2020-10-15 10:11:41,IP Address,98.237.121.112,100,118,True,2020-10-15 10:11:41,R_sHHKrj6oxhwDucF,,,,,39.9552001953125,-76.6652984619140625,anonymous,EN,templeuf,Temple University,0,I am at least 18 years of age.,I Accept.,CHW,Male,19,Not Hispanic/Latino,White,,High School,,Right,English,,c18592c2-5919-4c9a-87b6-a0ece6838db5,
2020-10-15 11:07:01,2020-10-15 11:10:06,IP Address,107.77.225.100,100,185,True,2020-10-15 11:10:07,R_3GcQrROiyPVDnqU,,,,,40.7960968017578125,-73.95130157470703125,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,High School,,Right,Russian,4,662a874f-162b-4d57-871d-252bb5cd03ce,
2020-10-15 13:32:24,2020-10-15 13:35:59,IP Address,208.58.254.104,100,215,True,2020-10-15 13:36:00,R_TbZo3dVyrvlTTpf,,,,,40.6985931396484375,-75.4833984375,anonymous,EN,templeuf,Temple University,0098,I am at least 18 years of age.,I Accept.,MJW,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,874e183f-5158-4412-a885-6654a28783aa,
2020-10-16 07:41:58,2020-10-16 07:44:08,IP Address,128.227.1.38,100,130,True,2020-10-16 07:44:08,R_2qvFzr7EGbuU2cw,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,911cd88f-2341-41b7-8a5b-5c18346455fe,
2020-10-16 08:04:05,2020-10-16 08:05:52,IP Address,128.227.1.41,100,106,True,2020-10-16 08:05:53,R_1gehYD6Iooe2ZSB,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,7d377104-7cb6-4703-badc-6829fbe5e94c,
2020-10-16 08:07:16,2020-10-16 08:08:56,IP Address,128.227.1.41,100,99,True,2020-10-16 08:08:56,R_25Yqf1pSJsY5JgW,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,," 7bc64d0c-08fa-410c-beaa-e6e3ad9831fc ",
2020-10-16 10:03:12,2020-10-16 10:08:49,IP Address,96.245.202.128,100,336,True,2020-10-16 10:08:49,R_22RGolpABqTD1G9,,,,,40.14349365234375,-75.377899169921875,anonymous,EN,templeuf,Temple University,101,I am at least 18 years of age.,I Accept.,NV,Male,18,Not Hispanic/Latino,Asian,,High School,,Right,Telugu,5,637ab224-9edf-48e8-a297-e8af174201d0,
2020-10-20 07:59:44,2020-10-20 08:02:45,IP Address,128.227.1.39,100,180,True,2020-10-20 08:02:45,R_yI3S6qdsi35WgU1,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,"d89053b1-22b0-4ae4-8768-4f233e773b1a  ",
2020-10-20 12:59:03,2020-10-20 13:02:00,IP Address,128.227.11.4,100,177,True,2020-10-20 13:02:00,R_6wYPJan58PVFNOF,,,,,29.6840057373046875,-82.356903076171875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,d0648ecc-f187-4547-9e20-b7b868de84ef,
2020-10-21 07:59:23,2020-10-21 08:02:17,IP Address,153.33.121.30,100,173,True,2020-10-21 08:02:17,R_3L7LjH6XK25dZ3H,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Hispanic/Latino,White,,High School,,Right,Spanish,14,c83f657b-3801-41a3-b556-e2e4bc1af604,
2020-10-21 08:04:22,2020-10-21 08:06:42,IP Address,98.20.182.55,100,140,True,2020-10-21 08:06:42,R_8uXO0nZIsLLsaJP,,,,,29.837799072265625,-82.6128997802734375,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,fe20bb37-07f7-4c4c-a13e-c4125a6b5795,
2020-10-21 09:59:08,2020-10-21 10:02:01,IP Address,73.105.28.209,100,172,True,2020-10-21 10:02:01,R_2WOo0VCVDAGwoEG,,,,,30.1172027587890625,-81.41190338134765625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,84949345-3d43-4edf-b863-27cc8e2f4173,
2020-10-21 11:55:23,2020-10-21 11:59:10,IP Address,128.227.1.41,100,227,True,2020-10-21 11:59:11,R_2TRgYWfXlA6qn8Q,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,"0689384c-416e-4368-8e1c-c4206e8a8e1c ",
2020-10-22 07:59:21,2020-10-22 08:03:01,IP Address,104.222.20.87,100,219,True,2020-10-22 08:03:01,R_1ocHe9XXBsgVP1w,,,,,29.6475067138671875,-82.40399932861328125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,3b2f3e72-e644-4f9d-96a7-401c196d66b1,
2020-10-22 08:00:42,2020-10-22 08:03:17,IP Address,73.125.133.39,100,155,True,2020-10-22 08:03:18,R_3HM55ljNNhvGdlo,,,,,25.606201171875,-80.3451995849609375,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Hispanic/Latino,White,,High School,,Right,Spanish,5,f5f5d367-0c58-4cd6-a2b1-b984b763fc05,
2020-10-22 10:28:59,2020-10-22 10:33:20,IP Address,70.168.101.83,100,260,True,2020-10-22 10:33:20,R_2S848phqtQI9yhf,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Hispanic/Latino,White,,High School,,Both,Spanish,5,"39bc04c5-fa30-4f6a-bdda-6820699b82f6 ",
2020-10-15 12:05:15,2020-10-15 12:08:07,IP Address,68.105.172.145,94,172,False,2020-10-22 12:08:22,R_3e8MyqG7lshse5n,,,,,,,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,English,,,
2020-10-23 08:02:19,2020-10-23 08:03:54,IP Address,128.227.1.39,100,95,True,2020-10-23 08:03:54,R_21GqJSW1yFPhx22,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,247da523-61f9-4393-87a9-31214cf19d49,
2020-10-23 09:04:14,2020-10-23 09:06:50,IP Address,108.16.4.72,100,156,True,2020-10-23 09:06:50,R_1jZH5qttF2Ohohl,,,,,40.18499755859375,-75.00409698486328125,anonymous,EN,templeuf,Temple University,111,I am at least 18 years of age.,I Accept.,CG,Female,21,Not Hispanic/Latino,White,,High School,,Right,Russian,4-5,6f49cf77-8084-4d0f-a0a7-191c51ab300b,
2020-10-23 11:05:26,2020-10-23 11:09:16,IP Address,98.180.126.115,100,229,True,2020-10-23 11:09:16,R_26b4w6LEnYuJyoe,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,Chinese,16,98647bb2-bb45-4cd2-9f07-f663803c5d2f,
2020-10-26 10:01:20,2020-10-26 10:03:30,IP Address,66.231.142.212,100,130,True,2020-10-26 10:03:31,R_2c8zyjBshJpIDpo,,,,,29.70050048828125,-82.3079986572265625,anonymous,EN,templeuf,The University of Florida,,,,,Other,20,Hispanic/Latino,White,,College,,Right,English,,0d484b4b-820f-4cda-9fa3-827b3f00e934,
2020-10-27 11:00:37,2020-10-27 11:03:49,IP Address,67.86.211.111,100,191,True,2020-10-27 11:03:49,R_2vcwEbEdBkBwog4,,,,,40.73370361328125,-74.19390106201171875,anonymous,EN,templeuf,Temple University,113,I am at least 18 years of age.,I Accept.,DKA,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,6358ea6c-55b3-4925-a760-18ad5ac526eb,
2020-10-27 13:00:13,2020-10-27 13:02:56,IP Address,192.245.0.2,100,163,True,2020-10-27 13:02:56,R_12J9X1iGOrs7dD2,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Hispanic/Latino,White,,High School,,Right,Spanish,4,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,
2020-10-27 15:08:15,2020-10-27 15:11:44,IP Address,71.185.187.195,100,208,True,2020-10-27 15:11:44,R_z1HAc67QmtcJX9v,,,,,40.110107421875,-75.15670013427734375,anonymous,EN,TempleUF,Temple University,113,I am at least 18 years of age.,I Accept.,AC,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,ad6ba5f5-188a-4d42-a280-63fde71d8438,
2020-10-28 07:31:39,2020-10-28 07:34:55,IP Address,128.227.1.38,100,196,True,2020-10-28 07:34:55,R_31AXtZbUd7oFouJ,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,febbf5fa-b4ee-4101-8cf5-162acec2ce05,
2020-10-29 10:04:50,2020-10-29 10:07:57,IP Address,128.227.1.40,100,186,True,2020-10-29 10:07:57,R_qyl4FTgEoz5SIz7,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,White,,High School,,Right,English,,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226,
2020-10-30 09:33:14,2020-10-30 09:36:17,IP Address,107.12.66.115,100,183,True,2020-10-30 09:36:17,R_yBBTG0ys4XwEK1r,,,,,34.22430419921875,-77.8849029541015625,anonymous,EN,Templeuf,Temple University,120,I am at least 18 years of age.,I Accept.,AR,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,6549564b-a203-4b9c-b6ef-e1f8162169d3,
2020-11-02 09:04:11,2020-11-02 09:08:21,IP Address,68.226.7.79,100,249,True,2020-11-02 09:08:21,R_0HZENdmU0rf9Qyt,,,,,29.6959075927734375,-82.40419769287109375,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,04e2f80e-24b5-4804-869e-5d8cd97ad59c,
2020-11-03 08:04:12,2020-11-03 08:15:11,IP Address,81.102.40.39,100,659,True,2020-11-03 08:15:12,R_2b2j0W9G5Vq25fj,,,,,51.357696533203125,0.1291046142578125,anonymous,EN,templeuf,The University of Florida,,,,,Female,34,,Black/African American,,Master's,,Left,Twi,6,e3f74869-23ce-4d7a-83c3-7054eef1f32d,
2020-11-05 08:08:17,2020-11-05 08:11:18,IP Address,128.227.1.43,100,181,True,2020-11-05 08:11:18,R_1ohanCLhkGJns4J,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,ebe52bec-935f-4ebf-ab1e-743e1c1814fe,
2020-11-05 11:23:40,2020-11-05 11:26:27,IP Address,128.227.42.56,100,167,True,2020-11-05 11:26:27,R_2dgUmlYjv5D4MYE,,,,,29.6840057373046875,-82.356903076171875,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,
2020-11-05 13:57:27,2020-11-05 14:00:16,IP Address,50.232.137.27,100,169,True,2020-11-05 14:00:16,R_V3hEOc0GzeH4s1P,,,,,39.973907470703125,-75.145599365234375,anonymous,EN,templeuf,Temple University,125,I am at least 18 years of age.,I Accept.,K.O,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,10b4bfcb-cef9-428c-931a-fe277682d93f,
2020-11-06 08:03:04,2020-11-06 08:04:49,IP Address,128.227.1.43,100,105,True,2020-11-06 08:04:50,R_1HiqZUroy3LTi3v,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,
2020-11-06 14:03:47,2020-11-06 14:08:02,IP Address,68.81.83.216,100,255,True,2020-11-06 14:08:03,R_3qgoGnsawHpt4SK,,,,,39.8545074462890625,-75.37729644775390625,anonymous,EN,templeuf,Temple University,10027,I am at least 18 years of age.,I Accept.,N.M,Male,20,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,"265bac2e-533a-4476-ba3d-168dc5bac0d1  ",
2020-11-09 08:05:29,2020-11-09 08:10:12,IP Address,174.71.182.178,100,283,True,2020-11-09 08:10:12,R_10YjTbJ5Mq3rBI0,,,,,29.6475067138671875,-82.40399932861328125,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Hispanic/Latino,Other:,Middle Eastern/White,High School,,Left,Spanish,4,edf159e2-07d8-43a4-857b-e869bc174485,
2020-11-09 09:57:35,2020-11-09 10:00:24,IP Address,24.136.48.253,100,168,True,2020-11-09 10:00:24,R_d0iOtJFO3i6bNh7,,,,,29.6959075927734375,-82.40419769287109375,anonymous,EN,templeuf,The University of Florida,,,,,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,"46fb51be-0d6d-4fc0-8e61-5adff691f9be ",
2020-11-11 09:00:42,2020-11-11 09:03:45,IP Address,65.34.76.199,100,183,True,2020-11-11 09:03:45,R_2YkRh3ay1QS1RbJ,,,,,27.8406982421875,-82.7154998779296875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,"05e1702e-4712-4c0a-a07c-fcd938791f95  ",
2020-11-12 08:03:29,2020-11-12 08:05:48,IP Address,128.227.1.38,100,139,True,2020-11-12 08:05:49,R_CagwEMh8WhxQ9Pz,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,8e5dda57-8ac0-4073-9494-5c8f786268b7,
2020-11-16 08:01:30,2020-11-16 08:04:31,IP Address,76.101.116.11,100,181,True,2020-11-16 08:04:31,R_2CP3u7LVAX2XJIg,,,,,26.18829345703125,-81.70709991455078125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Hispanic/Latino,White,,High School,,Right,Spanish,11,"dadb77ed-00b8-4632-af0f-f569dafb5a5a ",
2020-11-18 15:05:05,2020-11-18 15:09:03,IP Address,68.83.24.46,100,238,True,2020-11-18 15:09:04,R_2E48wXksJLx1vnb,,,,,40.43060302734375,-74.40200042724609375,anonymous,EN,templeuf,Temple University,128,I am at least 18 years of age.,I Accept.,JS,Female,28,Hispanic/Latino,White,,Master's,,Right,English,,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,
2020-11-19 08:02:40,2020-11-19 08:06:11,IP Address,66.231.138.83,100,210,True,2020-11-19 08:06:12,R_12PiL5RslGccXRS,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Hispanic/Latino,White,,High School,,Right,English,,e1a48277-e211-481a-81ae-95d581ec3851,
2020-11-20 08:03:50,2020-11-20 08:06:35,IP Address,99.32.57.113,100,164,True,2020-11-20 08:06:35,R_2bDbU9G7DP9WqXv,,,,,30.1320037841796875,-81.7725982666015625,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,4ee477f8-ff25-4bdb-9959-d9571cadb6c7,
2020-11-24 08:03:06,2020-11-24 08:09:51,IP Address,72.205.26.201,100,405,True,2020-11-24 08:09:51,R_DVwt0ykETjIfzSF,,,,,38.8878936767578125,-77.44480133056640625,anonymous,EN,templeuf,Temple University,135,I am at least 18 years of age.,I Accept.,PD,Male,20,Not Hispanic/Latino,Asian,,High School,,Left,English,,37b14be4-978e-48e6-89b3-450b1a947752,
2020-11-24 09:02:43,2020-11-24 09:06:09,IP Address,141.158.62.72,100,206,True,2020-11-24 09:06:09,R_u4E1TdHsVFULEDT,,,,,39.9945068359375,-75.16480255126953125,anonymous,EN,templeuf,Temple University,135,I am at least 18 years of age.,I Accept.,S.J.,Female,22,Not Hispanic/Latino,Asian,,High School,,Right,English,,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,
2020-11-24 09:34:37,2020-11-24 09:40:52,IP Address,129.32.225.6,100,374,True,2020-11-24 09:40:52,R_12hghm9WPNmJuf1,,,,,39.973907470703125,-75.145599365234375,anonymous,EN,templeuf,Temple University,136,I am at least 18 years of age.,I Accept.,ch,Female,19,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,spanish,10,73cc3358-285f-4f2e-90c0-2fca4281b9f6,
2020-11-20 14:13:49,2020-11-20 14:19:24,IP Address,107.77.202.20,94,335,False,2020-11-27 14:19:32,R_Wv62hFVe3YRuEKd,,,,,,,anonymous,EN,templeuf,Temple University,135,I am at least 18 years of age.,I Accept.,JY,Female,35,Not Hispanic/Latino,Asian,,College,,Right,Chinese,25,,
2020-12-02 08:00:14,2020-12-02 08:03:05,IP Address,71.196.78.128,100,171,True,2020-12-02 08:03:06,R_3hH1a0hBg99r33r,,,,,25.9091949462890625,-80.3927001953125,anonymous,EN,templeuf,The University of Florida,,,,,Male,19,Hispanic/Latino,White,,High School,,Right,English,,7c15814f-d9ba-4e6f-84ed-5e625443416a,
2020-12-02 12:06:45,2020-12-02 12:09:23,IP Address,68.82.101.21,100,157,True,2020-12-02 12:09:23,R_1H14YTy0WKMTWWu,,,,,40.2104034423828125,-74.82779693603515625,anonymous,EN,templeuf,The University of Florida,,,,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,53473141-5199-42a0-a807-52dca98ceb25,
2020-12-03 08:08:44,2020-12-03 08:10:38,IP Address,128.227.39.145,100,113,True,2020-12-03 08:10:38,R_1IGjKPSUiInX0xx,,,,,29.6840057373046875,-82.356903076171875,anonymous,EN,templeuf,The University of Florida,,,,,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,b16cbe15-9952-4706-8e1a-cb16fb90ec92,
2020-12-04 13:40:18,2020-12-04 13:44:14,IP Address,68.83.233.123,100,236,True,2020-12-04 13:44:15,R_x9QFrS6bb8Y2cX7,,,,,40.0782012939453125,-75.1298980712890625,anonymous,EN,templeuf,Temple University,144,I am at least 18 years of age.,I Accept.,CJ,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,d9c6574f-496e-495d-a6ea-3f33058c15cb,
2020-12-09 08:06:04,2020-12-09 08:12:28,IP Address,50.235.150.100,100,384,True,2020-12-09 08:12:28,R_2s0gt48o6WdQUTl,,,,,39.9810028076171875,-75.16989898681640625,anonymous,EN,templeuf,Temple University,144,I am at least 18 years of age.,I Accept.,AVFC,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,Spanish,15,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,
2020-12-10 11:03:19,2020-12-10 11:09:37,IP Address,132.147.52.103,100,377,True,2020-12-10 11:09:38,R_1r2oUitql7tjuhl,,,,,40.437103271484375,-78.36389923095703125,anonymous,EN,templeuf,Temple University,146,I am at least 18 years of age.,I Accept.,cg,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,"fd030fc8-794d-48cb-9a90-9a051160ae5d  ",
