participant_meta,DROP,NOTES,Participant UUID ALTERNATE,Participant UUID RAW,Participant UUID,DATE RUN,TIME RUN,trackpad/mouse,Site,Experimenter ,Silcton load time
1,,Lots of chatter in the background,,ee0f71d3-1a67-48c8-be1a-b505695ffa31,ee0f71d3-1a67-48c8-be1a-b505695ffa31,6/3/2020,,trackpad ,Temple,Elisabeth,
2,,,,af7ded8f-330c-43b0-9362-1092b04f5924,af7ded8f-330c-43b0-9362-1092b04f5924,6/3/2020,,trackpad,Temple,Elisabeth,
2,,"participant saw same route twice (first one), went to link in instructions, NEW uuid: cc32f559-6eee-4d21-a74e-3731af83987e went through the routes, at end of all routes number: 0002, went back to original study, completed the 2 tasks, at end the number was 0002",cc32f559-6eee-4d21-a74e-3731af83987e,OLD: 85de446c-8a08-47d8-919c-4ec9881c9b44,85de446c-8a08-47d8-919c-4ec9881c9b44,9/25/2020,11:00 AM,trackpad,Temple,Sabrina,
3,,Unable to turn completely  ,,0d053164-3d7c-480d-a3d3-4feade8f021e,0d053164-3d7c-480d-a3d3-4feade8f021e,6/18/2020,,trackpad,Temple,Elisabeth,
4,,Pointing was so laggy that we quit it and moved on to the model-building (he was not able to rotate around fully and it was extremely slow),,fd0502ab-0f88-4e90-8604-cd3202f970a3,fd0502ab-0f88-4e90-8604-cd3202f970a3,6/24/2020,,trackpad,Temple,Elisabeth,
5,DROP,"unable to turn completely, saw Gollege and C2 twice ",,ad307664-2349-428f-93ac-d8c398c606df,ad307664-2349-428f-93ac-d8c398c606df,7/2/2020,,trackpad,Temple,Elisabeth,
6,,"Participant did not have enough time to complete MRT part 1/2 despite me explaining the 3 minute time limit, perhaps the MRT should show a live timer? Silcton showed the first route twice. Participant viewed route 2 on the back up link and then proceeded to finish the study with no other issues.",,"bbedc7c2-3caa-428e-b7ef-fa56023fba70 
","bbedc7c2-3caa-428e-b7ef-fa56023fba70 
",9/30/2020,3:00 PM,,Temple,Mitch,
7,,Subject struggled for first half of the first direction of Batty route with controls,,36f0e279-76e8-4b04-b8b6-b69df44db011,36f0e279-76e8-4b04-b8b6-b69df44db011,7/9/2020,2pm,trackpad,UF,Steven,4 minutes for first environment
8,,"laptop, windows, internet explorer; pointiing task was frozen on first judgement, but when participant pressed escape, the zoom controls showed up again and the screen un-froze, however, they did not tell me until 3 judgements had passed that they could not see the prompt at the top because the control panel was covering it and when they hid the control panel, it would freeze. We waited and pressed escape and went back into it without control panel again and it seemed to be working fine and participant was able to adequately make the rest of the judgements; when we were troubleshooting, I sent backup link without realizing it only had the routes, so a new ID was generated: 91e1e170-f152-42f2-b7c3-6dc21dc16cf9",91e1e170-f152-42f2-b7c3-6dc21dc16cf9,2514a7b5-b029-42a2-8012-d742803f543c,2514a7b5-b029-42a2-8012-d742803f543c,10/1/2020,1:00 PM,trackpad,UF,Amanda,
9,DROP,"No option to ""optimizie screen share""; Lagging on my end, fine on participant's end. Moved on before I could record participant ID. Practice for mental rotation task was difficult for participant, took multiple times to understand which portions to select and deselect. Clicked multiple times waiting for first screen to load- realized fully after last route that he missed ""route 1""- I asked if he felt he had learned all 8 buildings and he said yes, so I told him we would continue. Hard to tell how precise/involved he was being on pointing task because of lag. Participant accidentally marked as ""pilot subject"" on virtual Silcton.",,28e02877-cd57-46b9-887b-46da7dff1cd2,28e02877-cd57-46b9-887b-46da7dff1cd2,7/10/2020,8am,mouse,UF,Amanda,
9,,"said it was lagging on their end a little bit; it looked a bit laggy to me, but hard to tell actually how bad it was for them.",,222d5885-c12f-43ed-a86e-2e708bdf149c,222d5885-c12f-43ed-a86e-2e708bdf149c,7/14/2020,10am,mouse,UF,Brandi,
9,DROP,"The  participant ran out of time during both sections of the MRT. After route 1, the participant skipped route 2 (I think she clicked “I’m Finished” twice). They went to the backup link (BACKUP ID: 78d65262-ce9e-4317-a9ba-a030f1126030) to complete the routes. She then went to the original study page to do the pointing task. It was a bit laggy at first, but hitting escape button and reentering the screen fixed it. ",,OLD: e79a8471-63d2-4295-8e8e-4d224f5f26e7,e79a8471-63d2-4295-8e8e-4d224f5f26e7,10/1/2020,2:00 PM,trackpad,Temple,Sarah,
10,,"No option to ""optimize""- said it was a little slow but not laggy; participation seemed iffy but I could tell the participant went through the routes in their head while constructing the map",,166B10D4-B83C-4E85-AE25-3963D74CC563,166B10D4-B83C-4E85-AE25-3963D74CC563,7/10/2020,9:30am,trackpad,UF,Amanda,
10,DROP,"no refreshing, but somehow the first two routes were exactly the same; participant had issues with mouse on pointing task, switched to trackpad",,506d932a-a47c-4d2a-988e-d40711228530,506d932a-a47c-4d2a-988e-d40711228530,7/15/2020,3:00pm,mouse,UF,Amanda,5 min
11,,restarted the qualtrics survey becuase they somehow moved on without copy/pasting their silcton unique ID (i think they literally copied the link instead of clicking on it),,0c7815a0-42d2-461a-acb0-75c2a0d62d1c,0c7815a0-42d2-461a-acb0-75c2a0d62d1c,7/16/2020,10am,trackpad ,UF,Brandi,
12,,"nothing showed up on the ""instruction"" portion of the mental rotation task, but worked after refreshing the page. participant had a very dificult time with the mental rotation task. Also had some dificulty navigating the world (using trackpad and arrow keys together), but eventually seemed to get the hang of it.",,93b4bc24-8c25-4781-a882-0c8aa02d4630,93b4bc24-8c25-4781-a882-0c8aa02d4630,7/16/2020,12pm,trackpad,UF,Brandi,
12,,"Participant clicked I am finished twice and skipped a route, had to view back up link. Participant re-filled out consent form before I could ask them to copy their new ID. Silcton was lagging and taking a very long time to load each route. This caused the study to run over two hours long, however the participant remained attentive and finished the study. ",,"a5d65712-0aa6-43b4-86dc-1dbbe6261e92
","a5d65712-0aa6-43b4-86dc-1dbbe6261e92
",10/1/2020,3:00 PM,trackpad,Temple,Mitch,
13,,"participant said that screen share cut off a portion of their screen. walking task was a ittle bit laggy, but doable ",,972a4fb5-7887-49f1-9575-979b45d9a1d6,972a4fb5-7887-49f1-9575-979b45d9a1d6,7/21/2020,10am,mouse,UF,Brandi,
13,,"mac, ios, safari. participant immediatly clicked ""I am finished"" before the VR had even loaded for no reason. they clicked it about 4 times. i have no idea why. i had them manually change the URL back to 2 and went from there. this messed up future routes, so i had to send them the recovery link to load route main A (ID: 0ea08408-6b05-4d14-abe8-b13e5677fb0
). possible drop ",,0ea08408-6b05-4d14-abe8-b13e5677fb0,0ea08408-6b05-4d14-abe8-b13e5677fb0,10/23/2020,10:00 AM,trackpad,UF,Brandi,
14,,cursor appeared on my end but participant said it was not there on their end in full screen-possibly due to dual monitors; took about an hour on first two trials,,7af77070-5f44-430b-873a-ca9b95db9c20,7af77070-5f44-430b-873a-ca9b95db9c20,7/21/2020,3pm,mouse,UF,Amanda,
15,,"the ""sample problem"" on the mental rotation task was not completed for the participants; participant answered it themself. took FOREVER to load virtual environment.",,291f642a-e7e2-42f9-a9c5-3c95c921e57a,291f642a-e7e2-42f9-a9c5-3c95c921e57a,7/22/2020,12pm,trackpad,UF,Brandi,
15,,"The participant was not able to optimize for sharing a video clip. Initially, the virtual world was a little glitchy and the participant had trouble looking to the right. However, this issue fixed itself. Silcton skipped the second connecting route, so I sent the participant the backup link to go through the final route. Then we returned to the original study page for the pointing task. The pointing task was a bit laggy and it took awhile for the indications at the top of the screen to change. The participant was focused throughout the study and spoke to themself to verbalize the things they were trying to memorize. ",,6358ea6c-55b3-4925-a760-18ad5ac526eb,6358ea6c-55b3-4925-a760-18ad5ac526eb,10/27/2020,1:00 PM,trackpad,Temple,Sarah,
16,,"refreshed the instruction page of the same problem. again the smaple problem was not filled out. at the end of the first route, the page froze and wouldn't allow the participant to move on, but while trying to figure out how to open a new study, it ended up loading so we used the original one. this continued after each time, but we just waited for them to load. ",,"b243b2d5-7a68-489c-a10c-5b3fc2c7865d
","b243b2d5-7a68-489c-a10c-5b3fc2c7865d
",7/23/2020,10am,mouse,UF,Brandi,
16,,"The participant was asked to store data before beginning each route. The second main route skipped, so I sent the participant the backup link and we completed the rest of the routes there. (PIN: 0016 NEW: 62c2cc00-1af9-49f1-a9a3-0b831457afbd). Participant was focused and spoke aloud during the study.  ",62c2cc00-1af9-49f1-a9a3-0b831457afbd,OLD: ad6ba5f5-188a-4d42-a280-63fde71d8438 NEW: 62c2cc00-1af9-49f1-a9a3-0b831457afbd,ad6ba5f5-188a-4d42-a280-63fde71d8438,10/27/2020,5:00 PM,trackpad,Temple,Sarah,
17,,"said it was lagging on their end, but doable. other than that, it went very smoothly. ",,8b2d476b-d74a-42a5-aa6e-d4fa07b02a9b,8b2d476b-d74a-42a5-aa6e-d4fa07b02a9b,7/23/2020,12pm,mouse,UF,Brandi,
18,,"Participant clicked ""I am finished"" twice and skipped the second route. New ID: c27f7355-7253-4e65-af48-a9dd6f0ca690",c27f7355-7253-4e65-af48-a9dd6f0ca690,OLD:10b4bfcb-cef9-428c-931a-fe277682d93f NEW: c27f7355-7253-4e65-af48-a9dd6f0ca690,10b4bfcb-cef9-428c-931a-fe277682d93f,11/5/2020,4:00 PM,trackpad ,Temple,Mitch,
19,,"participant had wifi issues, opened a hotspot on their phone. I believe this is what caused silcton to crash and send error messages. I sent them the back up link and they skipped over the entire consent form before I could ask them to copy their new ID into the chat. They kept open the original tab and finished the study through it after viewing the remaining routes in a seperate tab. ",,b2d1edc9-6b16-4ce8-94ff-ddc2ec8c1cc1,b2d1edc9-6b16-4ce8-94ff-ddc2ec8c1cc1,11/20/2020,4:00 PM,trackpad ,Temple,Mitch,
20,,best screenshare and video quality i've encountered; no lag everything loaded quickly,,a4181d7c-b05f-4c14-9895-89d6c81a8e81,a4181d7c-b05f-4c14-9895-89d6c81a8e81,7/28/2020,12pm,trackpad ,UF,Brandi,
21,,was fine. ,,d6a6db2b-aeb3-44b6-b04a-4710eaa8ba36 ,d6a6db2b-aeb3-44b6-b04a-4710eaa8ba36 ,7/30/2020,10am,trackpad,UF,Brandi,
23,,"had to redo the survey becuase their browser was not responsing at all and they had to force quit, so they got a new participant ID (old one:87e406b4-6551-42e2-9588-bb657a5535af
); lots of background noise; everythign went well otherise.",575696c7-9132-43cf-9bf1-3ef385a7445f ,575696c7-9132-43cf-9bf1-3ef385a7445f ,87e406b4-6551-42e2-9588-bb657a5535af,8/4/2020,10am,trackpad,UF,Brandi,
24,,"video quality and wifi connection was good despite participant being in a car(?). they did not have a power supply for their laptop, but it did not die (started at 61%)",,44ca8b1b-e286-4e9a-9495-0ace509a8d30 ,44ca8b1b-e286-4e9a-9495-0ace509a8d30 ,8/4/2020,12pm,trackpad,UF,Brandi,
25,,"participant used a desktop computer, which did not lag like most laptops do with this program",,a4fe06ac-16ba-4514-a860-3a6de6054d1e,a4fe06ac-16ba-4514-a860-3a6de6054d1e,8/5/2020,12pm,mouse,UF,Brandi,
26,,"no issues loading, ran very smoothly; participant was very present, no outside distractions",,833aa246-fffc-4f3d-bce6-323afd86f5f5,833aa246-fffc-4f3d-bce6-323afd86f5f5,8/5/2020,2:30pm,trakckpad,UF,Amanda,
27,,"everything ran smoothly; there was some background noise (phones ringing, etc.)",,5b5beb6f-6901-4c62-be49-825512534ee4 ,5b5beb6f-6901-4c62-be49-825512534ee4 ,8/6/2020,10am,mouse,UF,Brandi,
28,,"the program completely skipped the second main route and one of the connecting routes, so the participant only saw 1 main route and 1 connecting route, and then it went stright to the poitning task. I had them open up a new tab and sent them the links to the routes that they missed, while they kept the pointing task open in another tab. it seemed to work but i'm unsure if data was collected correctly for this participant, as I'm not sure a if they correctly kepy track of the tabs. they did not refreash or anything and things were going smoothly before it skipped the routes. participant may have clicked the ""i'm finished"" button before the screen was able to load the route they were supposed to be on. I did not notice this happen, but i'm not sure why else it would have entirely skipped routes. ",,2d1b13ee-66f3-429b-b0d1-2ce796310753,2d1b13ee-66f3-429b-b0d1-2ce796310753,8/6/2020,12pm,trackpad,UF,Brandi,
29,,followed instructions well and was paying very close attention while learning the routes; two interruptions during the beginning of the pointing task (people coming into room and talking to participant); on my end it looked like he clicked through two of the first two buildings after 1st judgement without realizing it,,d963d58b-97ea-4ba7-a4b7-a1c43a785328,d963d58b-97ea-4ba7-a4b7-a1c43a785328,8/10/2020,12pm,trackpad,UF,Amanda,
31,,Computer was having audio issues- participant joined with phone for audio,,d46d4806-a974-4bb4-a388-9274750b4d07,d46d4806-a974-4bb4-a388-9274750b4d07,9/15/2020,8am,trackpad,UF,Amanda,
32,,,,ae8441a4-e82c-49c3-9140-685b1818a758,ae8441a4-e82c-49c3-9140-685b1818a758,9/16/2020,9am,trackpad,UF,Amanda,
34,,"Extrmely laggy. Every route asked if they would allow ""https://virtual-ambler-staging.herokuapp.com"" to use up to 1.4 GB. At the end of the second main route, it did not allow the participant to exit full screen to move on. After a couple minutes, it finally did, but when the next page loaded it just said ""application error"" on the browser window. I had the participant refresh this page, and it seemed to work fine after that. No routes were skipped. zoom froze on the fourth route an dscreensharing stopped, but nothign happened to silcton and we just resumed the screen share. During the poitning task, zoom completely quit and participant had to rejoin, but again nothing happened to silcton. ",,e5a06387-25d0-4aa7-b8a1-cf4234791f33 ,e5a06387-25d0-4aa7-b8a1-cf4234791f33 ,9/17/2020,10pm,trackpad,UF,Brandi,
35,,"Second route started asking them to allow the website to use data. Also kept getting error messages, but after closing them nothing seemed to be wrong. also had a problem with the window not allowing them to escape from full screen. The zoom controls would pop up instead of the window getting smaller. I would tell them to try clicking inside the environment before pressing esc. I don't know if this worked, but eventually it escaped. ",,0b4711b3-9099-43bf-b2ce-1f544330b56d ,0b4711b3-9099-43bf-b2ce-1f544330b56d ,9/17/2020,12pm,trackpad,UF,Brandi,
36,,"Everthing seemed to go well. Participant was a bit confused about instructions, but got through everything okay.",,d1c7c3b3-2c87-462b-b504-cda5db9c0ce0,d1c7c3b3-2c87-462b-b504-cda5db9c0ce0,9/17/2020,2pm,trackpad,UF,Brandi,
37,,screenshare quit in fourth route. ,,3fa0ed80-aff6-4841-8d0d-ae000bae4eb7 ,3fa0ed80-aff6-4841-8d0d-ae000bae4eb7 ,9/18/2020,9:15am,trackpad,UF,Brandi,
38,,"After sharing their screen, the participant clicked “more” but was not given the option to hide video panel or floating controls. The website would not allow the participant to type in the password “templeuf”. This problem was resolved when the participant went to another browser. We also ran into issues with the MRT. The instructions and practice problems did not show up. The participant clicked the “back” button and ended up having to take the SBSOD again. When we got to the MRT, it still did not show instructions or practice problems. After refreshing, the practice problems came up and it worked. Every route asked the participant if they would allow the website to use 1.4 GB. There was minor background noise during the study, but nothing overly distracting. ",,713e9dca-e17d-44ef-b5a2-a3f41d92be9f,713e9dca-e17d-44ef-b5a2-a3f41d92be9f,9/18/2020,11:02am,trackpad,Temple,Sarah,
40,,"Participant was asked to allow storing data (see previous participant for exact error message); clicked don't allow and seemed to run fine; was a bit distracted within the environment itself looking at insignificant elements such as non-important signs, inside traffic cones, close up of cars at lynch station, quote on tobler museum, etc.",,6db1e537-66a3-437f-8ae8-752286cc5806,6db1e537-66a3-437f-8ae8-752286cc5806,9/18/2020,2pm,trackpad,UF,Amanda,
42,,"participant was asked to allow data storage for every route, but it ran smoothly until the 4th route, it wouldn’t let the participant move at all and none of the controls were working. I had to have them force quit the entire browser and I sent them a link and was going to have them manually change the url, but when she reopened her browser, it looked like it pulled up the application that had quit (it was the same route that had quit before). i had them do the route, but then there was an error and the pointing task did not load. i had the participant go to back to the other link that opened and had them skip to the pointing task. the new participant ID that it gave was: 61c26a40-5e33-436f-849d-422df3018b98 ",61c26a40-5e33-436f-849d-422df3018b98,"old: 30d13979-dada-410d-86c9-fb704e7a04a8
 new: 61c26a40-5e33-436f-849d-422df3018b98
",30d13979-dada-410d-86c9-fb704e7a04a8,9/24/2020,10am,trackpad,UF,Brandi,
43,,no issues,,cdf4f735-3aa0-47c9-9c98-b474b4ada4bd,cdf4f735-3aa0-47c9-9c98-b474b4ada4bd,9/24/2020,12:00 PM,trackpad,Temple,Sabrina,
44,,asked participant to allow data storage every route; no issues.,,6437645d-9a32-48ee-8ef2-4437967ceeb5 ,6437645d-9a32-48ee-8ef2-4437967ceeb5 ,9/24/2020,12:00 PM,trackpad,UF,Brandi ,
46,,Participant was very focused and there were no outside distractions. ,,0d244487-427c-4864-811d-d2101947484d,0d244487-427c-4864-811d-d2101947484d,9/24/2020,3:00 PM,mouse,Temple,Sarah,
47,,"when i told the participant we were done with the first page (qualitrics survey), they closed out of both tabs (that one and the silton one). i was going to have them redo the survey, but they said they couldnt type anything so they couldnt enter the password. so i just sent them the link to silton website, where they got a new ID. they also submmited the original ID with ""pilot subject"" at then end. participants keyboard was not letting them move in the VE, so i had ended the zoom call and had them rejoin and it worked. only one connecting route would load. i tried to send them different link, tried to have them manually change the number in the url between 4 and 5, tried having her go back to 3 and clicking im finished and the same connecting route kept loading for both routes. it would not change no matter what i tried. i also think they may have gotten confused and accidently exited out of the original tab i wanted them to keep open that was connected with their participant ID. I had them move ahead with the pointing task, but probably a drop?",8ab2b1ed-7548-49a7-b720-4b8fabe09bc6,old: 8ab2b1ed-7548-49a7-b720-4b8fabe09bc6 new: cdfccf76-5817-4aab-b168-c61ba14552fb,cdfccf76-5817-4aab-b168-c61ba14552fb,###############################################################################################################################################################################################################################################################,10:00 AM,trackpad,UF,Brandi,
52,,"windows 10, laptop, chrome, participant asked if there was a timer shown on the SBSOD- intereting thing to consider for future studies?",,6396c8da-c288-485a-8062-09a6d471931d,6396c8da-c288-485a-8062-09a6d471931d,9/25/2020,1:00 PM,mouse,UF,Amanda,
53,,"Laptop, couldn't optimize for sharing video. Participant listening to instructions and taking it seriously. No significant lag on their end. Had some trouble with controls on the first run (not able to turn and walk at the same time). They didn't realize that route 3 was a connecting route until about halfway through it. Was a little chatty on the last route, not too distracting. Otherwise had great focus.",,4827511f-a2b3-4e9b-b92b-a363756d509c,4827511f-a2b3-4e9b-b92b-a363756d509c,9/25/2020,1:00 PM,trackpad,Temple,Maddy,
55,,"MRT did not load, participant had to refresh page for the test to appear. Silcton was lagging and freezing up on the first route so I had the participant refresh it once and everything ran smoothly after that. ",,"8c2cc2df-2217-4b49-bc83-0bcf7aede3b8
","8c2cc2df-2217-4b49-bc83-0bcf7aede3b8
",9/28/2020,5:00 PM,trackpad,Temple,Mitch,
57,,"Participant wasn't able to find the ""share portion of screen"" option. Did not consent to the web data release, hit ""decline"" instead of ""accept"" and it took them back to the qualtrics survey to fill out again (so the next time they hit ""no"" and then ""accept"". It gave them a new SILCTON ID, old one was 7c0837cf-a498-4a3d-8a7d-ad28b19b94a7. Had to refresh MRT task because it didn't load the first time. Route 2 took a long time to load. For the first 5 or so buildings on the pointing task, participant just clicked in one direction rather than turning because they didn't understand the instructions, but then started to turn to pick the right direction and completed the rest of the task correctly.",7c0837cf-a498-4a3d-8a7d-ad28b19b94a7,57e04bdc-ff99-459e-a476-9dc2e4e8ced5,57e04bdc-ff99-459e-a476-9dc2e4e8ced5,9/30/2020,10:00 AM,trackpad,Temple,Maddy,
58,,"Participant taking the task seriously and making sure to adequately note surroundings on the routes- not rushing through or anything. Stopped outside each building to look around and memorize the view. They said sometimes the mouse gets stuck on the edge of the screen. Noted the map in the batty house route very closely. Said specifically ""I will win"" jokingly- trying very hard to learn all 8 buildings. Spent a while on the pointing task",,a0505a36-a5f8-48cd-ac1f-450e25236e09,a0505a36-a5f8-48cd-ac1f-450e25236e09,9/30/2020,12:00 PM,mouse,Temple,Maddy,
59,,"windows 10, desktop, chrome. Asked about survey question in reference to ""it is not important that I know where i am"" and asked if it meant know where they are on a map or in general?",,6367b514-db46-4e80-a142-9deb4311bf76,6367b514-db46-4e80-a142-9deb4311bf76,9/30/2020,1:00 PM,mouse,UF,Amanda,
61,,"After completing the first route, the participant’s screen froze and did not allow them to click “I am finished” (MAC). After about 4 minutes, it loaded and the problem was resolved. The participant was very attentive and spoke out loud throughout the study, saying things like “Oh, I get this.” In the connecting routes the participant recognized some buildings from a distance before seeing their signs. When he entered one of the connecting routes, he said “Oh, so now we’re going the back way.” The participant was attentive during the pointing task and when he finished constructing the map at the end, he edited it a little bit for precision. The participant made a few distracting comments but was really engaged throughout the study. ",,712e2f2f-53dc-4b4b-b123-19560997ff3c,712e2f2f-53dc-4b4b-b123-19560997ff3c,9/30/2020,3:00 PM,mouse,Temple,Sarah,
63,,"In the qualtrics survey, the last question (about what age the participant learned their first language) disappeared before the participant could answer. In the MRT, the participant was unable to click on the blocks for a bit. Eventually they were able to click, but time ran out at question 9. In the first route, the participant was unable to look in the virtual world. We gave it time to load, but technical issues forced the participant out of the zoom meeting. Once they reentered the zoom meeting, they went back to the silcton tab again and were able to move. The participant’s screen was laggy and the participant got stuck/frozen a few times. The participant was not able to make Silcton full screen during the 3rd route. During the 4th route, the participant could not look and was frozen staring at the ground. After about 5 minutes, and escaping onto another screen, it eventually loaded and let the participant look and move. It continued to be a little laggy. Participant could not look around during the pointing task. This problem lasted for about 5 minutes and the screen was frozen, not allowing the participant to escape or anything. The participant used the 3 swipe Mac feature on the trackpad to leave the Silcton screen and then return. This fixed the pointing issue and the participant was then able to point and click during the pointing task. During the Map Arrangement task, the participant could not scroll down or view the buildings at first (problem lasted for about 4 minutes) Participant refreshed the page and then completed the task. ",,5466222e-a308-4132-9106-400e27dd63fc,5466222e-a308-4132-9106-400e27dd63fc,10/1/2020,11:00 AM,trackpad,Temple,Sarah,
64,,"used a mac with chrome and experinced no with siltcon issues at all. participant was having a hard time with the ""portion of screen"" screenshare; it kept moving the green box while she was trying to click inside of it, so i just had her use basic screenshare instead. ",,fce82786-face-4d67-b5cf-a523e8a4a7b3,fce82786-face-4d67-b5cf-a523e8a4a7b3,10/1/2020,12:00 PM,trackpad,UF,Brandi,
70,,"lagged a bit in the third route and the screen froze, and screenshare quit. the silcton screen unfroze when screenshare resumes. other than this, no problems. there was some noice in the background that sounded like little kids yelling",,3e6766a3-4c63-43ff-aa13-e40184959bf2,3e6766a3-4c63-43ff-aa13-e40184959bf2,10/2/2020,10:00 AM,trackpad,UF,Brandi,
71,,"Participant couldn't find option to share portion of screen or to optimize sharing for a video clip. Seemed like they almost passed the start line before I got to tell them not to pass it, but they were standing on the letters, didn't walk any further. Then they backed up. Noted the ""Thesius's revenge"" sign closely. Took the time to fully explore and turn around lots to note all the details of the environment. Followed instructions diligently. ",,f19a4a56-3522-42dd-bb28-16d8d7763cc3,f19a4a56-3522-42dd-bb28-16d8d7763cc3,10/2/2020,12:00 PM,trackpad,Temple,Maddy,
72,,no issues,,d2af8f06-6bfe-46f9-ab49-456fb4c801fa,d2af8f06-6bfe-46f9-ab49-456fb4c801fa,10/2/2020,12:30 PM,trackpad,Temple,Sabrina,
