participant_meta,DROP,NOTES,Participant UUID ALTERNATE,Participant UUID RAW,Participant UUID,DATE RUN,TIME RUN,trackpad/mouse,Site,Experimenter ,Silcton load time
74,,"Participant using browser version of Zoom so couldn't share portion of screen or optimize for sharing a video clip. They accidentally missed clicking ""Temple University"" on the Qualtrics form, and it skipped the consent form and they couldn't press the back button on their browser. It also skipped the pin. I tried having them click the link again from the Zoom page but it took them straight to the demographic form. I went through the consent process from memory and still was able to read through the consent form on the Silcton site, but noted that I would email them a consent form afterwards with the study team's contact info on it and pointed it out on the Silcton consent form. Sounded like there was a smoke alarm chirping in the participant's house. Lagging a little on their end. Paid attention to buildings and made sure they explored fully. During the pointing task, their mouse was visible for some reason even though they went to full screen, but they made sure where they were pointing was recorded by the cross hair location and not the mouse location.",,,d2bcc8aa-38cf-4417-8fa3-7e7e3cb7c28a,10/5/2020,3:00 PM,trackpad,Temple,Maddy,
75,,"Participant did not have time to click “I’m finished” of MRT. During route 2, it got a bit laggy and the screen froze for about 20 seconds (my end only). Throughout the remainder of the study, there were no issues with lagging. For the second connecting route, the participant was not able to go full screen. This did not effect her ability to view anything. During the pointing task, I was not able to see the prompts at the top of the screen (the participant was unaffected). ",,52bcd577-0855-4db6-bbb1-9849641eb9ae,52bcd577-0855-4db6-bbb1-9849641eb9ae,10/6/2020,1:00 PM,trackpad,Temple,Sarah,
76,,Used chrome; Timed out of first and second MRT before finishing;Began 1st route while I was still reading instructions,,386349c1-0d89-41c6-b0f0-a148bb4b251b,386349c1-0d89-41c6-b0f0-a148bb4b251b,10/7/2020,10:00AM,trackpad,UF,Rachel,
77,,"Used chrome; Timed out before finishing MRT part 1; Roommate asked what participant was doing while the participant was walking route 3; On route 4, the route froze for about 5-8 minutes before the participant was able to begin walking but after stopping screen share and starting screen share again the route unfroze",,b8c531a6-b592-4277-87b2-860f81ccc86c,b8c531a6-b592-4277-87b2-860f81ccc86c,10/7/2020,2:00PM,trackpad,UF,Rachel,
78,,"no problems; participant seemed to go through routes extremely quickly, noticably disinterested. ",,0ac71f1f-1a28-4c3f-9dcb-9cae84b17b8a,0ac71f1f-1a28-4c3f-9dcb-9cae84b17b8a,10/8/2020,10:00 AM,trackpad,UF,Brandi,
79,,"""application error"" showed up after pointing task; i think the participant got through the enitre pointing task, and it had an error loading the map building task, but im not sure. would have to look at data. i had participant manually change the url from 6 to 7 to move to map building task. no probelms other than this. ",,7ba65c70-dbc0-a7e4-a6d689d14c89,7ba65c70-dbc0-a7e4-a6d689d14c89,10/8/2020,12:00 PM,trackpad,UF,Brandi,
80,,"HP, windows, chrome; no issues; participant paid close attention and gave full attention to study",,afaa7e32-6813-42ff-8bd4-68d17075530f,afaa7e32-6813-42ff-8bd4-68d17075530f,10/8/2020,12:45 PM,trackpad,UF,Amanda,
81,,had participant restart the pointing task becuase they could not see the prompts becuase the zoom controls had reappeared when they were esc out of full screen for the routes. no other problems.,,a2b3a579-b55e-41df-b1e1-21469a6a2498 ,a2b3a579-b55e-41df-b1e1-21469a6a2498 ,10/8/2020,2:00 PM,trackpad,UF,Brandi,
82,,desktop computer. definately the best qulity and most effortless run of the VE (i assume this computer is used for gaming). no issues. ,,13673c5a-aaad-4e8c-9dd5-42d34feb16ff,13673c5a-aaad-4e8c-9dd5-42d34feb16ff,10/8/2020,4:00 PM,mouse,UF,Brandi,
83,,"mac, ios, chrome, participant felt it was very laggy on their end and got a bit dizzy from the third root becuase of the lag- I offered for them to take a break or end study if they felt it was too much but they said they were fine and finished last route with no complaints; participant asked for a short break after the pointing task to step away and get water and was gone for less than a minute",,782dd814-e549-4bbd-abdd-89b957a37fd4,782dd814-e549-4bbd-abdd-89b957a37fd4,10/9/2020,2:00 PM,trackpad,UF,Amanda,
84,,Used chrome; Timed out before finishing MRT part 1 and 2; Participant's phone beeped during the part 2 of MRT  ,,3537167e-74b4-4495-bb0d-83474698babf,3537167e-74b4-4495-bb0d-83474698babf,10/12/2020,10:00AM,trackpad,UF,Rachel,
85,,Used chrome; Timed out before finishing MRT part 2; Noisy background,,95c2cd96-ff2b-46d2-9f8b-089acf5483cd,95c2cd96-ff2b-46d2-9f8b-089acf5483cd,10/12/2020,12:00PM,mouse,UF,Rachel,
86,,"Used Safari; Timed out before finishing MRT part 1 and 2;  Had a message on the top of the screen saying ""The storage is using significant energy. Closing it may improve the responsiveness of your Mac.""",,3ff3778d-48c5-4da8-9a2a-90e8db125d22,3ff3778d-48c5-4da8-9a2a-90e8db125d22,10/12/2020,2:00PM,trackpad,UF,Rachel,
87,,Used Chrome; For Qualtrics survey has an AA and did not know which highest level of education to select so selected high school;  Participant received a text notification while completing part 1 of the MRT (disrupted participant); Timed out of MRT part 1; First route and second route took a long time to load- had a lot of tabs open so that could explain this ,,6a7aed67-dc50-492a-b244-89543b97d52b ,6a7aed67-dc50-492a-b244-89543b97d52b ,10/13/2020,10:00AM,trackpad,UF,Rachel,
88,,Used Chrome; Timed out of MRT part 1 and 2; Routes lagged after they loaded- subject had to email professor that they would be late for class due to lagging (study went over by over 30 minutes); For pointing task participant clicked Harvey House clicked before; participant began the task; Participant would click a spot after rotating but the cross-hair would lag and move after the participant pointed to the location of the building,,f567cc0d-e387-4cc8-ab50-ca21c444c747,f567cc0d-e387-4cc8-ab50-ca21c444c747,10/13/2020,3:00PM,mouse,UF,Rachel,
89,,Used chrome; Timed out of MRT part one and two,,9fa9f858-9b15-4d66-9dc3-a70ba7f8a053,9fa9f858-9b15-4d66-9dc3-a70ba7f8a053,10/14/2020,10:00AM,mouse,UF,Rachel,
90,,"No option to share portion of screen, no option to optimize sharing for a video clip. Participant accidentally closed out of Silcton tab instead of Qualtrics after pasting participant ID, but when they opened the tab back up, the participant ID was the same as before. Had to remind participant a few times to select 2 answers for MRT. Participant took time to make note of surroundings on each of the routes.",,c31e2c8f-c2a0-4c97-9b60-34c3dc50a005,c31e2c8f-c2a0-4c97-9b60-34c3dc50a005,10/14/2020,10:00 AM,trackpad,Temple,Maddy,
91,,Chrome; Timed out of MRT part 1 and 2; First route took over 5 minutes to load; Dog started barking while on the 4th route,,df273804-3584-46cc-a97c-ecf19582522f,df273804-3584-46cc-a97c-ecf19582522f,10/14/2020,12:00PM,mouse,UF,Rachel,
92,,"mac, ios, safari. no problems ",,27225966-89dd-4e4f-ba69-6a4b22151d47 ,27225966-89dd-4e4f-ba69-6a4b22151d47 ,10/15/2020,10am,trackpad ,UF,Brandi,
93,,"PC, windows, laptop, everything loaded quickly, study ran without any issues",,e1e09cc2-8bbf-402b-a73e-5daea63d971e,e1e09cc2-8bbf-402b-a73e-5daea63d971e,10/15/2020,10:00 AM,trackpad,UF,Amanda,
94,,"mac, ios, safari.  no problems ",,2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170 ,2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170 ,10/152020,12pm,trackpad ,UF,Brandi,
95,,"mac, ios, chrome, no problems",,c18592c2-5919-4c9a-87b6-a0ece6838db5,c18592c2-5919-4c9a-87b6-a0ece6838db5,10/15/2020,12:00 PM,trackpad ,Temple,Sabrina,
96,,"laptop, mac, chrome, no issues loading, study ran without issues",,662a874f-162b-4d57-871d-252bb5cd03ce,662a874f-162b-4d57-871d-252bb5cd03ce,10/15/2020,1:00PM,trackpad ,UF,Amanda,
97,,"mac, ios, chrome. video was pretty laggy on my end. the ""portion of screen"" was not working properly so i had the participant do a regular desktop share. The ""i am finished"" button at the end of each route was not working properly, so i had the participant manually change the number in the url to get the appropriate route to load. ",,35761d71-27e7-4f63-85a8-2266caa4ab4b ,35761d71-27e7-4f63-85a8-2266caa4ab4b ,10/15/2020,2pm,trackpad ,UF,Brandi ,
98,,no issues ,,874e183f-5158-4412-a885-6654a28783aa,874e183f-5158-4412-a885-6654a28783aa,10/15/2020,3:00 PM,trackpad ,Temple,Mitch,
99,,"pc, chrome, desktop, no issues",,911cd88f-2341-41b7-8a5b-5c18346455fe,911cd88f-2341-41b7-8a5b-5c18346455fe,10/16/2020,9:30 AM,mouse,UF,Amanda,
100,,"mac, ios, firefox. participant closed the wrong link at the beginning so i had them redo the survey (old id: 7d377104-7cb6-4703-badc-6829fbe5e94c
). other than this, no problems; routes loaded very quickly and the VE ran very smoothly ",7d377104-7cb6-4703-badc-6829fbe5e94c,7bc64d0c-08fa-410c-beaa-e6e3ad9831fc,7bc64d0c-08fa-410c-beaa-e6e3ad9831fc,10/16/2020,10am,mouse,UF,Brandi ,
101,,"Laptop. No option to share portion of screen, but was able to optimize for sharing a video clip. Took time to immerse self in the MRT practice problems- taking time on answering, and took time to see why incorrect answers were incorrect. Asked later if there is any way to see how they did on the MRT because they felt they did poorly. Took the time to look around lots in the virtual environment and relate routes to each other",,637ab224-9edf-48e8-a297-e8af174201d0,637ab224-9edf-48e8-a297-e8af174201d0,10/16/2020,12:00 PM,mouse,Temple,Maddy,
102,,Used chrome; Timed out of MRT; Silcton loaded really quickly on eduroam wifi and chrome,,d89053b1-22b0-4ae4-8768-4f233e773b1a,d89053b1-22b0-4ae4-8768-4f233e773b1a,10/20/2020,10:00AM,trackpad,UF,Rachel,
104,,Used Chrome ,,c83f657b-3801-41a3-b556-e2e4bc1af604,c83f657b-3801-41a3-b556-e2e4bc1af604,10/21/2020,10:00AM,trackpad,UF,Rachel,
105,,"mac, ios, chrome, once participant finished the pointing task, it went ot map task, but then flashed back to pointing task for a minute. Participant said they did not press any buttons from here and pointing task screen was up for about 20 seconds, then map task loaded again- hopefully all judegements were recorded correctly ",,fe20bb37-07f7-4c4c-a13e-c4125a6b5795,fe20bb37-07f7-4c4c-a13e-c4125a6b5795,10/21/2020,10:00 AM,trackpad,UF,Amanda,
106,,"Using Chrome; Could hear a smoke detector chirping in the background; Timed out of MRT pt 1; After finished route 1, the screen froze and participant couldn't escape the virtual world so after stopping screen share and starting it back again this worked and the participant was able to click ""I am Finished"" to load the 2nd route; ",,84949345-3d43-4edf-b863-27cc8e2f4173,84949345-3d43-4edf-b863-27cc8e2f4173,10/21/2020,12:00PM,trackpad,UF,Rachel,
107,,Using chrome; Timed out of MRT pt 1 and 2; ,,0689384c-416e-4368-8e1c-c4206e8a8e1c,0689384c-416e-4368-8e1c-c4206e8a8e1c,10/21/2020,2:00PM,mouse,UF,Rachel,
108,,"windows, chrome, first judgement on pointing task was frozen, participant pressed escape when I told them to get out of full screen but it took that as a selection for first two judgements; tool bar for zoom kept showing up again and covering prompt, but when participant tried to hide video panel while in full screen, it froze;for map task, participant accidentally placed building too far out of box and it disappeared (tobler museum)",,3b2f3e72-e644-4f9d-96a7-401c196d66b1,3b2f3e72-e644-4f9d-96a7-401c196d66b1,10/22/2020,10:00 AM,trackpad,UF,Amanda,
109,,"mac, ios, chrome. no issues, everything loaded quicky",,f5f5d367-0c58-4cd6-a2b1-b984b763fc05 ,f5f5d367-0c58-4cd6-a2b1-b984b763fc05 ,10/22/2020,10:00 AM,trackpad,UF,Brandi,
110,,"asis laptop, chrome, no issues running study, participant talked to themselves the entre study to remember things- did not seem distracting",,39bc04c5-fa30-4f6a-bdda-6820699b82f6,39bc04c5-fa30-4f6a-bdda-6820699b82f6,10/22/2020,12:30 PM,mouse,UF,Amanda,
112,,"Participant did not have time to complete first round of MRT. The screen froze at the beginning of each route. However, doing the “three swipe” feature on the Mac’s trackpad fixed this issue each time. There were no distractions and the participant was focused.  ",,6f49cf77-8084-4d0f-a0a7-191c51ab300b,6f49cf77-8084-4d0f-a0a7-191c51ab300b,23-Oct,11:00 AM,trackpad,Temple,Sarah,
116,,Using chrome; Timed out of MRT part 1; Could hear yelling in the background during MRT part 2;,,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,10/27/2020,3:00PM,trackpad,UF,Rachel,
118,,"Mac, ios, chrome, laptop, clicked through ""point to tobler"" accidentally while trying to go full screen",,febbf5fa-b4ee-4101-8cf5-162acec2ce05,febbf5fa-b4ee-4101-8cf5-162acec2ce05,10/28/2020,9:30 AM,trackpad,UF,Amanda,
119,,"mac, ios, safari, no problems. ",,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226 ,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226 ,10/29/2020,12:00 PM,trackpad,UF,Brandi,
120,,"Participant was unable to optimize for screen sharing. At the beginning of each route, the screen froze and would not allow the participant to look around. This was fixed when the participant did the 3 swipe feature on Mac, but it still took a bit to load",,6549564b-a203-4b9c-b6ef-e1f8162169d3,6549564b-a203-4b9c-b6ef-e1f8162169d3,10/30/2020,11:00 AM,trackpad,Temple,Sarah,
121,,"Mac, chrome, desktop; participant accidentally clicked through second main route so we used back up link just for this route; new ID: 1a9c8fc7-1c30-4285-8bc2-c3c113d16693; participant seemed to go through routes fairly quickly despite me reminding them to pay close attention to the names/locations of the buildings",1a9c8fc7-1c30-4285-8bc2-c3c113d16693,OLD: 04e2f80e-24b5-4804-869e-5d8cd97ad59c,04e2f80e-24b5-4804-869e-5d8cd97ad59c,11/2/2020,11:00 AM,mouse,UF,Amanda,
122,,"Acer, microsoft, chrome, laptop, had some internet issues from start",,e3f74869-23ce-4d7a-83c3-7054eef1f32d,e3f74869-23ce-4d7a-83c3-7054eef1f32d,11/2/2020,10:00 AM,trackpad,UF,Amanda,
123,,"mac, laptop, chrome, study ran smoothly",,ebe52bec-935f-4ebf-ab1e-743e1c1814fe,ebe52bec-935f-4ebf-ab1e-743e1c1814fe,11/5/2020,10:00 AM,trackpad,UF,Amanda,
124,,"laptop, mac, chrome ",,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,11/5/2020,1:00 PM,trackpad,UF,Amanda,
126,,no problems. ,,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,11/6/2020,10:00 AM,trackpad,UF,Brandi,
127,,no issues ,,265bac2e-533a-4476-ba3d-168dc5bac0d1,265bac2e-533a-4476-ba3d-168dc5bac0d1,11/6/2020,4:00 PM,trackpad ,Temple,Mitch,
128,,Using chrome; At Panera so background is noisy; Timed out of MRT pt 1; ,,edf159e2-07d8-43a4-857b-e869bc174485,edf159e2-07d8-43a4-857b-e869bc174485,11/9/2020,10:00AM,trackpad,UF,Rachel,
129,,"Used safari,  during pointing task, could not view the prompt so had to click to full screen again and accidentally skipped through one of the prompts;",,46fb51be-0d6d-4fc0-8e61-5adff691f9be,46fb51be-0d6d-4fc0-8e61-5adff691f9be,11/9/2020,12:00PM,trackpad,UF,Rachel,
131,,"Mac, IOS, chrome",,8e5dda57-8ac0-4073-9494-5c8f786268b7,8e5dda57-8ac0-4073-9494-5c8f786268b7,11/12/2020,10:00 AM,trackpad,UF,Amanda,
133,,"Participant timed out for part 1 and 2 of MRT. Participant was very attentive throughout the study and paid close attention to the routes. The environment got a bit laggy at some points, but nothing bad enough to interfere with the participant’s ability to complete the study. ",,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,11/18/2020,5:00 PM,trackpad,Temple,Sarah,
134,,"Macbook, IOS, chrome",,e1a48277-e211-481a-81ae-95d581ec3851 ,e1a48277-e211-481a-81ae-95d581ec3851 ,11/19/2020,10:00 AM,trackpad,UF,Amanda,
139,,Macbook Pro. No issues. Participant was attentive.,,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,11/24/2020,11:00 AM,trackpad,Temple,Sarah,
140,,"Macbook Air Catalina, Chrome. Participant was able to go through MRT pretty quickly without running into the time limit. Had to explain MRT practice questions feedback a few times. Participant stopped in front of one of the buildings that don't need to be memorized, so I clarified that the only ones relevant for the later task have blue gems in front, but emphasized that they can still observe the other parts of the environment too to understand how everything is related. Participant was initially confused about why they had to follow the path backwards. When the second route loaded, pt asked how many more sections they would have to memorize (I explained the routes again). However, they did take time to look around plenty and weren't rushing through. When the 4th route was loading, the pt's browser gave them an error and they clicked the ""I'm Finished"" button again so it skipped to the pointing task. I had them change the number at the end of the link from 6 to 5, and the 4th route successfully loaded. At the end of the pointing task, pt asked how much longer it would take, I said they were almost done and encouraged them (""You're doing a great job, keep it up"")",,73cc3358-285f-4f2e-90c0-2fca4281b9f6,73cc3358-285f-4f2e-90c0-2fca4281b9f6,11/24/2020,11:30 AM,trackpad,Temple,Maddy,
143,,"Lenovo ideapad, chrome, laptop, ran very smoothly, no connection or silcton issues",,b16cbe15-9952-4706-8e1a-cb16fb90ec92,b16cbe15-9952-4706-8e1a-cb16fb90ec92,12/3/2020,10:00 AM,Trackpad,UF,Amanda,
145,,"HP Laptop; No option to share portion of screen, but was able to optimize sharing for a video clip. Participant sighed during MRT practice problems. Rested for 20 seconds or so before moving on to MRT part 2. Took plenty of time to look at surroundings and buildings to learn. Did a lot of stopping throughout on the routes. Participant struggled a bit to understand the instructions of the pointing task. Went through pointing task sort of quickly, but still turned around to point to different buildings. Sighed a few times during the pointing task. Seemed like they put some buildings slightly outside the box border in the map arrangement task, but clicked ""I am finished"" before I could tell them to move them back within the borders.",,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,12/9/2020,10:00 AM,Trackpad,Temple,Maddy,
146,,"Mac desktop, had to refresh MRT once but it loaded the second time. Didn't break in between MRT parts. Participant was following all instructions and paying attention. Some background noise throughout, but participant's house mates knew they were on a Zoom call and weren't interacting with them. Seemed like they were speeding through the1st route a bit, but did take time to view surroundings too and spent more time on looking around in the subsequent routes. Final route never loaded- I tried having them navigate to the link with /5 on the end, but they had already seen that route; then had them navigate to the link with /4 on the end, and /4 and /5 were the exact same route. So, I had them just move forward with the pointing task on the original tab.",,fd030fc8-794d-48cb-9a90-9a051160ae5d,fd030fc8-794d-48cb-9a90-9a051160ae5d,12/10/2020,1:00 PM,Mouse,Temple,Maddy,
,DROP,participant chose not to participate,,99ec2a8a-63aa-432c-b322-856a575e02af,99ec2a8a-63aa-432c-b322-856a575e02af,8/10/2020,4:30pm,trackpad,UF,Amanda,
,DROP,"MRT was not loading after 3 minutes, participant refreshed and it worked; every trial asked the participant if they would allow ""https://virtual-ambler-staging.herokuapp.com"" to use up to 1.4 GB of stprage on their mac- they clikced allow but for second route, it froze on that window; I tried sending the link in the script for an alternate route but it asked for a login; small time gap to get the correct link for alternate route, second ID #: 16e318ca-edc9-4f74-9554-f0c863a83172; on alternate screen, windows kept popping up saying ""storage full"", which the participant was unable to get rid of becuase it was during a route, participant attempted to finish route with window up but towards the end of route 3 (on alternate study), the controls started to automatically move forward and participant was unable to turn or stop moving sideways; I instructed participant to press esc and try loading next screen since they were finished with that route, but the button was not clickable (possibly due to the storage full notification still being up?); at that point, I ended the study as I did not think we could finish it without further computer issues and I believed more interruptions may compromise the testing environment and data",16e318ca-edc9-4f74-9554-f0c863a83172,a1168d22-aa41-463a-98a3-ded2b8d10e2a,a1168d22-aa41-463a-98a3-ded2b8d10e2a,9/16/2020,1pm,trackpad,UF,Amanda,
,DROP,"particiapnt was outside somewhere, i think near a library on campus. it was extremely noisy; could hear lots of alarms and people talking/screaming. internet connect was very poor and kept cutting out. Participant could not heat me very well, so i couldnt offer instructions very well. After close to 15 minutes of the virtual environment not loading and the zoom call failing multiple times, i decided to end the study. ",,0866cc9c-f28c-41f9-8360-9bcc40c41259 ,0866cc9c-f28c-41f9-8360-9bcc40c41259 ,9/24/2020,2:00 PM,trackpad,UF,Brandi,
,,"The participant experienced significant technical difficulties and had to exit the study before its completion due to a time constraint (they had class). In the beginning, the participant accidentally clicked on the wrong institution and was not able to change their response. The participant had difficulty moving in the virtual world and made comments about how loud their laptop was getting throughout the study. Participant could not move even after clicking inside the virtual world. Participant was able to move when the environment was not in full screen, but seemed confused and rushed. The routes took a very long time to load, were very laggy, and the participant exited the study during the pointing task. ",,e8e6dd98-81aa-4cb3-bf07-79b711ed2e03,e8e6dd98-81aa-4cb3-bf07-79b711ed2e03,9/25/2020,11:00 AM,trackpad,Temple,Sarah,
,,Lots of technical difficulties. Participant did not finish the study due to time constraints. Silcton was taking so long to load it appeared to be frozen and the participant accidently skipped the second route so I had them load the back up link which was also taking a very long time to load. Study ran 2 hours and 11 minutes and the participant was still waiting on the fourth route to load. At this point they told me they had to go to a meeting at 5:15 so I decided to end the study since I had already kept them about 45 minutes over the time frame of the study. ,,8c2cc2df-2217-4b49-bc83-0bcf7aede3b8,8c2cc2df-2217-4b49-bc83-0bcf7aede3b8,9/29/2020,3:00 PM,trackpad,Temple,Mitch,
,DROP,"ios/mac, chrome, laptop. first route didn't load- new ID: 5171506b-12e1-4111-b9d3-a2c6df81c251; 10 minutes and first route did not load on original or back up study; tried refresh on back up study but still did not load; participant received ""page unresponsive"" error message multiple times and after 15 minutes of first route not loading, I ended the study",5171506b-12e1-4111-b9d3-a2c6df81c251,1de21aa7-3d5d-47f2-9fc7-d42816b9e966,1de21aa7-3d5d-47f2-9fc7-d42816b9e966,10/1/2020,9:00 AM,trackpad,UF,Amanda,
,DROP,"mac, ios, chrome, first route very slow to load, tried backup link, also did not load; participant accidentally closed original study tab; waited 5 minutes for study to load and ultimately ended the study",,e27a456d-d599-49ac-8947-5ef73d6cf5b7,e27a456d-d599-49ac-8947-5ef73d6cf5b7,10/1/2020,3:00 PM,trackpad,UF,Amanda,
,DROP,"mac, ios, chrome, participant 's screen froze when they went full screen for first route and they were unable to press escape or make their mouse visible- we. weaited several minutes but still were unable to get out of full screen or do anything so participant had to restart their computer; they had a class at 2pm so I ended the study since there wouldn't be time to go through it all again",,98647bb2-bb45-4cd2-9f07-f663803c5d2f,98647bb2-bb45-4cd2-9f07-f663803c5d2f,10/23/2020,1:00 PM,trackpad,UF,Amanda,
,,"Mac, IOS, chrome, internet was very slow on last two routes, stopped multiple times, and once reaching the end of last route participant was unable tot press escape or any buttons to get the cursor to show up and move on to the pointing task; i ended the study as there was no way tot get out of the screen (internet issues possibly due to tropical storm ETA)",,05e1702e-4712-4c0a-a07c-fcd938791f95,05e1702e-4712-4c0a-a07c-fcd938791f95,11/11/2020,11:00 AM,trackpad,UF,Amanda,
,DROP,"dell, chrome, laptop, internet was kind of slow loading routes, but seemed to be working fine until the participants' computer completely shut off during the thurd route- since the backup link only has routes, I ended the study",,4ee477f8-ff25-4bdb-9959-d9571cadb6c7,4ee477f8-ff25-4bdb-9959-d9571cadb6c7,11/20/2020,10:00 AM,trackpad,UF,Amanda,
,,"No option to optimize sharing for a video clip. Virtual SILCTON didn't load after the MRT, I had them refresh the page, sent them backup links, etc. but nothing worked and it kept prompting them to log in. Had them restart their Chrome browser and try again, but they clicked past the first page before I could have them send me their new participant ID. They had to go through the SOD scale and MRT again, but virtual SILCTON still did not load. Participant was using a 
Macbook Pro, and it turns out that they had just updated to Big Sur, which Temple has warned students about due to potential compatibility issues, so I believe that was the culprit. They did not complete the experiment but I awarded them the SONA credits anyway.",,37b14be4-978e-48e6-89b3-450b1a947752,37b14be4-978e-48e6-89b3-450b1a947752,11/24/2020,10:00 AM,trackpad,Temple,Maddy,
,DROP,"Participant was experiencing wifi issues and causing them to drop out of the zoom meeting several times. Silcton was unresponsive and showed the same route twice (New ID: a7b74b23-586a-46d4-a162-cc806b5cb70a). Silcton continued to be unresponsive until the participant dropped out of the zoom meeting for good due to wifi issues and sent me an email saying their computer had stopped responding entirely. I decided to end the study at this point because it had already run well over the time slot and the technical issues were creating too many issues to complete the study. 
",,"d9c6574f-496e-495d-a6ea-3f33058c15cb
","d9c6574f-496e-495d-a6ea-3f33058c15cb
",12/4/2020,3:00 PM,Mouse,Temple,Mitch ,
,DROP,"Used chrome; Controls were already set to be hidden on participant's Zoom; Ran out of time before completing MRT part 1 and 2; Participant was eating while walking through route 3; On pointing task, participant froze and then was kicked out of Zoom before finishing-WIFI cut out and could not finish study      ",,8052f066-ef47-4360-8cd2-2bcc25820ed6,8052f066-ef47-4360-8cd2-2bcc25820ed6,10/5/2020,10:00AM,trackpad,UF,Rachel,
,DROP,"Used chrome; Timed out of MRT pt 1 and 2; For the end of route 3, the mouse wouldn't load to click ""I am Finished""; Route 3 froze and would not let the participant screen share because entire computer was frozen;  Could not open a new tab- entire screen was frozen and had to end study",,d0648ecc-f187-4547-9e20-b7b868de84ef ,d0648ecc-f187-4547-9e20-b7b868de84ef ,10/20/2020,3:00PM,trackpad,UF,Rachel,
,DROP,Used chrome; First route took at over 10 minutes to load and still did not load; Tried using backup link to see if the first route would load and route one still would not load on computer- had to end study ,,"0d484b4b-820f-4cda-9fa3-827b3f00e934; NEW ID: 273d9919-5013-476d-9ada-98ce09967899
",0d484b4b-820f-4cda-9fa3-827b3f00e934,10/26/2020,12:00PM,mouse,UF,Rachel,
