"","id","Between_Pointing","Within_Pointing"
"1","u1075688",58.2625604102813,24.9998388694583
"2","UT_141",48.2811116898437,24.691183155
"3","UT_143",61.892075294875,26.4605924820417
"4","UT_168",57.6633770053125,32.5219618238333
"5","Utah_101",40.8121602535625,5.84556731395833
"6","Utah_102",59.455101759375,35.0907118669167
"7","Utah_104",56.991347483125,48.882361559
"8","Utah_105",57.787186126875,38.7406158220833
"9","Utah_107",21.4197650217812,21.9023894687917
"10","Utah_108",25.9467405487812,18.823184807125
"11","Utah_109",60.765935208375,32.3187691796667
"12","Utah_110",17.6553646844688,14.7557359275
"13","Utah_111",46.2451061971875,32.1979296765
"14","Utah_112",67.7644960147812,13.6263606005833
"15","Utah_113",46.1723423751562,29.9493142481667
"16","Utah_114",35.1461724259063,18.5944951367917
"17","Utah_115",52.4333987865937,32.332116488
"18","Utah_116",42.3120521673438,17.3019093797917
"19","Utah_117",51.9677583517812,31.0256812806667
"20","Utah_118",55.5455255044062,46.8189785785
"21","Utah_119",58.19829764625,61.5104137058333
"22","Utah_120",36.7110748911563,30.8455387452917
"23","Utah_121",41.9870681213437,22.9361227415
"24","Utah_122",55.393888832125,26.8244622205417
"25","Utah_123",38.4058620389687,16.6285968293333
"26","Utah_124",21.3790946602813,19.1824832009583
"27","Utah_125",28.6980381390625,28.7502606958333
"28","Utah_126",31.44421447825,16.45180294375
"29","Utah_127",55.0073988574375,27.1670491309167
"30","Utah_128",41.3345231399688,13.167931556125
"31","Utah_129",54.2612911858125,30.6290666046667
"32","Utah_130",56.3104278416875,30.969588312
"33","Utah_131",64.025464314375,43.119534865875
"34","Utah_132",33.224452881125,17.335718851
"35","Utah_133",23.1946240630625,20.1226092897917
"36","Utah_134",43.8957197195937,12.0346756534583
"37","Utah_135",50.3158749349687,29.7610369515
"38","Utah_136",52.5746844763437,18.7814258821667
"39","UTah_137",18.656484655,7.30991574733333
"40","Utah_138",70.0615159791875,28.25756214975
"41","Utah_139",49.8236447983125,13.083079009125
"42","Utah_142",49.6647574427813,18.851826649125
"43","Utah_144",27.6510164654375,24.30976549525
"44","Utah_145",49.2540921865625,18.5176198740833
"45","Utah_146",41.1365402840312,31.66042533875
"46","Utah_147",35.0637904233438,29.5100688065833
"47","Utah_148",47.052522500875,37.3330322000417
"48","Utah_149",65.5530717919062,45.7503477279583
"49","Utah_150",53.122716823125,35.5267759744167
"50","Utah_151",59.9442226033438,35.8092091185417
"51","Utah_152",47.786185773,22.0480546125
"52","Utah_153",40.1856628074688,23.6036159001667
"53","Utah_154",23.5246046357813,13.3118503172917
"54","utah_155",46.0098508362188,48.9025563875
"55","Utah_156",59.08760059475,41.418877535625
"56","Utah_157",62.651743952375,35.309248726125
"57","Utah_158",60.300964925625,42.828562165375
"58","Utah_159",15.688354583625,18.8995070025417
"59","Utah_160",23.4385748857813,15.257678074125
"60","Utah_161",64.91408741875,52.2391123193333
"61","Utah_162",29.7093487427187,13.2579218802083
"62","Utah_163",51.5335700550625,38.3956688775833
"63","Utah_164",23.4808218492187,18.714363549875
"64","Utah_165",37.2156961395312,21.1427283639167
"65","Utah_166",53.2095001181875,28.2578762154167
"66","Utah_167",50.75012721475,19.6771654990833
"67","Utah_169",51.7348011787813,17.087304890625
"68","Utah_170",64.013276943875,22.7324200158333
"69","Utah_171",54.6710956135313,60.4006860202917
"70","Utah_172",37.7260695338125,38.0779429371667
"71","Utah_173",48.016289072,28.63004038375
"72","Utah_174",46.611685048,25.3565129012083
"73","Utah_175",57.5320029858125,49.448888552375
"74","Utah_176",44.2622613943125,6.36195218433333
"75","Utah_177",35.29507080475,26.16185770675
"76","Utah_178",49.73071843175,26.17747813225
"77","Utah_179",49.7179070144375,7.59500264920833
"78","Utah_180",46.328530493125,40.644505948375
"79","Utah_181",35.0432215832188,16.6262649064583
"80","Utah_183",61.6312549320312,29.0648232971667
"81","Utah_184",31.28591384675,14.988265916625
"82","Utah_185",51.5424108350625,41.409581952
"83","Utah_186",50.2679922439687,21.670785668
"84","Utah_187",33.68607009425,17.9709567482917
"85","Utah_188",47.7772454353125,21.163484719625
"86","Utah_189",28.065484636125,12.2089592112083
"87","Utah_190",44.5474778113125,12.605195782375
"88","Utah_191",60.9311300197188,12.8207872992083
"89","Utah_192",44.7905988330938,26.5354784924583
"90","Utah_193",49.7384524562813,29.007055951375
"91","Utah_194",55.2477407180625,22.5906223680417
"92","Utah_195",40.8677437133125,26.2543491325417
"93","Utah_196",48.20032450275,22.4881872176667
"94","Utah_197",48.944310999,25.442491186375
"95","Utah_198",41.1085159202187,19.635791867875
"96","Utah_199",54.012928848875,43.7607164569167
"97","Utah_200",57.084563458875,40.5834164029167
"98","Utah_201",41.5057463765,25.7880284085833
"99","Utah_202",27.2663600240625,38.7645339474167
"100","Utah_203",56.7735598210312,45.029350993375
"101","Utah_204",40.5666884364063,29.6241209409167
"102","Utah_205",58.629701541375,23.3244984412917
"103","Utah_206",36.0255198874375,12.2388479210417
"104","Utah_207",32.9563767542188,18.9492739620833
"105","Utah_208",45.0457261965625,7.34983899741667
"106","Utah_209",60.1659715855313,43.875507365375
"107","Utah_210",56.0482162578125,40.171094235625
"108","Utah_211",57.0891551807812,22.842094921625
"109","Utah_212",43.0992559621562,19.6121302529167
"110","Utah_213",38.2846412946875,15.8417866874583
"111","Utah_214",41.4565402531562,31.1434577528333
"112","Utah_215",22.6496539655625,12.7579796568333
"113","Utah_217",53.3793547596563,43.0005315876667
"114","Utah_218",25.009807850875,20.3951013632917
"115","Utah_219",15.9149190743438,10.7846428956667
"116","Utah_221",38.9550240471563,35.2779176328333
"117","Utah_222",56.110053233375,29.03146926875
"118","Utah_223",47.6590921167813,35.9415683813333
"119","Utah_224",48.9580896605313,32.4172202842917
"120","Utah_225",34.381986954875,23.4113449951667
"121","Utah_2256",34.9566542268125,19.0735680925
"122","Utah_226",37.8649689270625,14.4821051330833
"123","Utah_227",40.0978123179062,16.0734291685833
"124","Utah_228",38.506246729,28.1292264282917
"125","Utah_229",54.9839985760625,43.6006665646667
"126","Utah_230",48.2232610462813,45.7397261300417
"127","Utah_231",58.6053914240625,43.7323514092917
"128","Utah_232",53.1411339517812,19.470548668625
"129","Utah_233",41.0333391237187,25.6983975192083
"130","Utah_234",55.563949666625,27.454961864375
"131","Utah_235",43.6329460596875,30.4532962801667
"132","Utah_236",42.6518699949062,41.3712592597083
"133","Utah_237",41.93603833725,38.705855737625
"134","Utah_238",47.653574957625,36.99753347525
"135","Utah_239",60.4772721784688,45.9263578350417
"136","Utah_240",62.5862891497188,29.6936053599167
"137","Utah_241",30.9089147166875,18.4757975603333
"138","Utah_242",24.1358848942188,12.81802889575
"139","Utah_243",59.2630156219062,44.45322457625
"140","Utah_244",54.1367990239375,31.218459246875
"141","Utah_245",66.3508664853125,29.7869911125833
"142","Utah_246",52.0462133164688,37.1353067699583
"143","Utah_247",61.2229494958437,36.22873516075
"144","Utah_248",49.8930052152812,50.1888212616667
"145","Utah_249",59.9123842227187,39.204246214375
"146","Utah_250",52.6877709832187,35.6356778387917
"147","Utah_251",53.934632208125,38.0657603083333
"148","Utah_253",13.3486001055313,11.5417182255417
"149","Utah_254",61.5158762182812,26.900281580375
"150","Utah_257",11.5442393973438,6.53102900854167
"151","Utah_258",59.0675429173438,11.4805548129583
"152","Utah_259",44.6945306584688,24.2302103154583
"153","Utah_260",57.6617485532188,56.600417496875
"154","Utah_261",56.4620400445625,53.50401601025
"155","Utah_262",56.9913504173438,29.127161388
"156","Utah_263",57.8751202139062,17.5730571055417
"157","Utah_265",57.57261254425,50.706115403875
"158","Utah_266",55.359864195625,33.6402900517917
"159","Utah_267",48.03522695725,19.7748883996667
"160","Utah_268",32.3596251006563,21.6598495815417
"161","Utah_270",63.478146959875,41.5018974404583
"162","Utah_271",37.4442788856875,36.186115089875
"163","Utah_272",50.3689012118125,6.72246548741667
"164","Utah_273",45.9676023533438,14.41092899475
"165","Utah_274",46.8758403119063,34.142916071875
"166","Utah_275",50.566167781,26.193014450875
"167","Utah_276",46.4947604393906,35.6264071101667
"168","Utah_278",47.595378208,35.9029751555833
"169","Utah_279",50.609860613125,26.4114823026667
"170","Utah_280",63.7235573265937,37.1281558588333
"171","Utah_281",60.8367266077813,31.2939016695417
"172","Utah_282",53.9763025692188,22.186239789
"173","Utah_283",51.988584417,28.8556298803333
"174","Utah_284",47.2171745388438,28.1505292785417
"175","Utah_285",58.32512371525,27.5573228208333
"176","Utah_286",70.6360934056875,39.7195739106667
"177","Utah_287",37.3115550759375,14.7219203196667
"178","Utah_288",26.260357321375,21.1162071726667
"179","Utah_289",29.92167878675,17.3294789921667
"180","Utah_290",57.3423188304375,21.9820131667917
"181","Utah_291",63.0593812725625,51.4957226477917
"182","Utah_292",54.0664246465,62.9714903031667
"183","Utah_293",17.4479348773438,13.801129154375
"184","Utah_294",40.955921834125,31.8097909239583
"185","Utah_295",29.089339935625,21.8244852827917
"186","Utah_296",50.0407468152187,49.8416073917083
"187","Utah_297",21.7253507563438,6.92664256895833
"188","Utah_298",51.7624613000625,51.945351587
"189","Utah_299",42.6478363351562,20.2612222063333
"190","Utah_300",40.32836538175,12.1802461604167
"191","Utah_301",39.4884362366562,35.9718398537083
"192","Utah_303",42.1470339467812,27.642293348
"193","Utah_304",43.4406354996875,26.9548365241667
"194","Utah_305",17.14724376475,6.54484701958333
"195","Utah_306",32.84370629225,10.1872181730833
"196","Utah_307",54.7827781320312,16.2268174968333
"197","Utah_308",24.2237143288437,29.29108816125
"198","Utah_309",24.7575018066875,30.1289077109583
"199","Utah140",52.4198306877812,31.6127293004167
